,date,I,R,D,C,I_p,C_p
187,2020-07-27,,,,,665.1524382389979,85071.28278342153
188,2020-07-28,,,,,671.7924013037125,85077.62429991888
189,2020-07-29,,,,,678.4983295176187,85083.77557092132
190,2020-07-30,,,,,685.2708717991699,85089.7423037937
191,2020-07-31,,,,,692.1106833212283,85095.5300346799
192,2020-08-01,,,,,699.0184255687333,85101.14413363952
193,2020-08-02,,,,,705.994766396849,85106.58980963036
194,2020-08-03,,,,,713.0403800895917,85111.87211534147
195,2020-08-04,,,,,720.155947418943,85116.99595188124
196,2020-08-05,,,,,727.3421557044475,85121.96607332482
197,2020-08-06,,,,,734.5996988733017,85126.78709112508
198,2020-08-07,,,,,741.9292775209348,85131.46347839134
199,2020-08-08,,,,,749.3315989720838,85135.9995740396
200,2020-08-09,,,,,756.8073773423681,85140.39958681841
201,2020-08-10,,,,,764.3573336003624,85144.66759921386
202,2020-08-11,,,,,771.9821956301756,85148.80757123744
203,2020-08-12,,,,,779.6826982945339,85152.82334410031
204,2020-08-13,,,,,787.4595834983729,85156.71864377729
205,2020-08-14,,,,,795.3136002529425,85160.49708446396
206,2020-08-15,,,,,803.2455047404239,85164.16217193003
207,2020-08-16,,,,,811.2560603790654,85167.71730677212
208,2020-08-17,,,,,819.3460378888356,85171.16578756894
209,2020-08-18,,,,,827.5162153576003,85174.51081394186
210,2020-08-19,,,,,835.7673783078236,85177.7554895236
211,2020-08-20,,,,,844.1003197637948,85180.90282483787
212,2020-08-21,,,,,852.5158403193866,85183.95574009273
213,2020-08-22,,,,,861.0147482063445,85186.91706788994
214,2020-08-23,,,,,869.5978593631113,85189.78955585323
215,2020-08-24,,,,,878.2659975041885,85192.57586917763
216,2020-08-25,,,,,887.0199941900366,85195.2785931023
217,2020-08-26,,,,,895.8606888975185,85197.90023530922
218,2020-08-27,,,,,904.7889290908852,85200.44322824995
219,2020-08-28,,,,,913.80557029331,85202.90993140245
220,2020-08-29,,,,,922.9114761589701,85205.30263346038
221,2020-08-30,,,,,932.1075185456797,85207.62355445657
222,2020-08-31,,,,,941.3945775880758,85209.87484782288
223,2020-09-01,,,,,950.7735417713598,85212.0586023882
224,2020-09-02,,,,,960.2453080055963,85214.17684431658
225,2020-09-03,,,,,969.8107817005715,85216.2315389871
226,2020-09-04,,,,,979.4708768412131,85218.2245928175
227,2020-09-05,,,,,989.2265160635727,85220.15785503299
228,2020-09-06,,,,,999.0786307313754,85222.03311938202
229,2020-09-07,,,,,1009.0281610131349,85223.85212580058
230,2020-09-08,,,,,1019.076055959839,85225.61656202658
231,2020-09-09,,,,,1029.223273583205,85227.3280651658
232,2020-09-10,,,,,1039.470780934507,85228.98822321084
233,2020-09-11,,,,,1049.8195541839802,85230.59857651452
234,2020-09-12,,,,,1060.2705787007972,85232.16061921908
235,2020-09-13,,,,,1070.8248491336233,85233.67580064251
236,2020-09-14,,,,,1081.4833694917515,85235.14552662324
237,2020-09-15,,,,,1092.2471532268164,85236.57116082455
238,2020-09-16,,,,,1103.1172233150887,85237.95402599982
239,2020-09-17,,,,,1114.0946123403542,85239.29540521983
240,2020-09-18,,,,,1125.180362577375,85240.59654306325
241,2020-09-19,,,,,1136.3755260759372,85241.85864677136
242,2020-09-20,,,,,1147.6811647454824,85243.08288736823
243,2020-09-21,,,,,1159.0983504403287,85244.2704007472
244,2020-09-22,,,,,1170.6281650454769,85245.4222887248
245,2020-09-23,,,,,1182.2717005630068,85246.53962006308
246,2020-09-24,,,,,1194.0300591990617,85247.62343146121
247,2020-09-25,,,,,1205.904353451424,85248.67472851739
248,2020-09-26,,,,,1217.8957061976791,85249.69448666189
249,2020-09-27,,,,,1230.0052507839723,85250.68365206204
250,2020-09-28,,,,,1242.234131114354,85251.6431425002
251,2020-09-29,,,,,1254.5835017407182,85252.5738482252
252,2020-09-30,,,,,1267.0545279533314,85253.47663277846
253,2020-10-01,,,,,1279.648385871953,85254.35233379512
254,2020-10-02,,,,,1292.3662625375464,85255.20176378128
255,2020-10-03,,,,,1305.2093560045812,85256.02571086786
256,2020-10-04,,,,,1318.1788754339264,85256.82493954185
257,2020-10-05,,,,,1331.2760411863323,85257.60019135562
258,2020-10-06,,,,,1344.5020849165046,85258.35218561499
259,2020-10-07,,,,,1357.8582496677634,85259.08162004658
260,2020-10-08,,,,,1371.345789967294,85259.78917144521
261,2020-10-09,,,,,1384.9659719219812,85260.4754963019
262,2020-10-10,,,,,1398.7200733148325,85261.14123141287
263,2020-10-11,,,,,1412.6093837019832,85261.78699447052
264,2020-10-12,,,,,1426.635204510287,85262.41338463643
265,2020-10-13,,,,,1440.7988491354854,85263.02098309736
266,2020-10-14,,,,,1455.1016430409609,85263.61035360447
267,2020-10-15,,,,,1469.5449238570634,85264.18204299636
268,2020-10-16,,,,,1484.1300414810173,85264.73658170649
269,2020-10-17,,,,,1498.8583581773994,85265.27448425531
270,2020-10-18,,,,,1513.7312486791893,85265.79624972766
271,2020-10-19,,,,,1528.7501002893887,85266.30236223585
272,2020-10-20,,,,,1543.916312983208,85266.79329136878
273,2020-10-21,,,,,1559.2312995108143,85267.26949262773
274,2020-10-22,,,,,1574.6964855006415,85267.73140784891
275,2020-10-23,,,,,1590.3133095632568,85268.17946561346
276,2020-10-24,,,,,1606.0832233957817,85268.61408164506
277,2020-10-25,,,,,1622.0076918868613,85269.03565919572
278,2020-10-26,,,,,1638.088193222182,85269.44458941986
279,2020-10-27,,,,,1654.3262189905302,85269.84125173726
280,2020-10-28,,,,,1670.7232742903889,85270.22601418514
281,2020-10-29,,,,,1687.2808778370684,85270.59923375958
282,2020-10-30,,,,,1704.0005620703655,85270.96125674678
283,2020-10-31,,,,,1720.8838732627457,85271.31241904438
284,2020-11-01,,,,,1737.9323716280471,85271.65304647305
285,2020-11-02,,,,,1755.1476314306924,85271.98345507885
286,2020-11-03,,,,,1772.5312410954145,85272.30395142648
287,2020-11-04,,,,,1790.0848033174793,85272.61483288369
288,2020-11-05,,,,,1807.8099351734068,85272.91638789717
289,2020-11-06,,,,,1825.7082682321804,85273.20889626026
290,2020-11-07,,,,,1843.7814486669388,85273.49262937244
291,2020-11-08,,,,,1862.031137367144,85273.76785049126
292,2020-11-09,,,,,1880.4590100512185,85274.03481497652
293,2020-11-10,,,,,1899.0667573796404,85274.29377052722
294,2020-11-11,,,,,1917.8560850684958,85274.5449574114
295,2020-11-12,,,,,1936.8287140034731,85274.78860868906
296,2020-11-13,,,,,1955.9863803542967,85275.0249504284
297,2020-11-14,,,,,1975.3308356895845,85275.25420191555
298,2020-11-15,,,,,1994.86384709213,85275.47657585809
299,2020-11-16,,,,,2014.587197274589,85275.69227858236
300,2020-11-17,,,,,2034.5026846955689,85275.9015102249
301,2020-11-18,,,,,2054.612123676108,85276.10446491816
302,2020-11-19,,,,,2074.917344516532,85276.30133097061
303,2020-11-20,,,,,2095.420193613684,85276.4922910415
304,2020-11-21,,,,,2116.122533578507,85276.67752231027
305,2020-11-22,,,,,2137.0262433539756,85276.85719664098
306,2020-11-23,,,,,2158.1332183333625,85277.03148074176
307,2020-11-24,,,,,2179.4453704788275,85277.20053631952
308,2020-11-25,,,,,2200.964628440313,85277.36452022995
309,2020-11-26,,,,,2222.6929376747416,85277.52358462306
310,2020-11-27,,,,,2244.6322605654927,85277.67787708438
311,2020-11-28,,,,,2266.7845765421516,85277.82754077186
312,2020-11-29,,,,,2289.151882200512,85277.97271454871
313,2020-11-30,,,,,2311.7361914228195,85278.11353311226
314,2020-12-01,,,,,2334.5395354982425,85278.25012711891
315,2020-12-02,,,,,2357.5639632435514,85278.38262330536
316,2020-12-03,,,,,2380.8115411239933,85278.51114460621
317,2020-12-04,,,,,2404.2843533743417,85278.63581026804
318,2020-12-05,,,,,2427.9845021201095,85278.75673596002
319,2020-12-06,,,,,2451.9141074989047,85278.87403388125
320,2020-12-07,,,,,2476.0753077819104,85278.98781286484
321,2020-12-08,,,,,2500.4702594954724,85279.09817847893
322,2020-12-09,,,,,2525.101137542774,85279.20523312461
323,2020-12-10,,,,,2549.9701353255805,85279.30907613091
324,2020-12-11,,,,,2575.0794648660312,85279.40980384703
325,2020-12-12,,,,,2600.4313569284586,85279.50750973166
326,2020-12-13,,,,,2626.0280611412154,85279.60228443975
327,2020-12-14,,,,,2651.871846118486,85279.69421590661
328,2020-12-15,,,,,2677.964999582061,85279.78338942946
329,2020-12-16,,,,,2704.3098284830517,85279.86988774662
330,2020-12-17,,,,,2730.9086591235214,85279.95379111427
331,2020-12-18,,,,,2757.7638372780066,85280.03517738088
332,2020-12-19,,,,,2784.8777283149097,85280.11412205949
333,2020-12-20,,,,,2812.2527173177323,85280.19069839774
334,2020-12-21,,,,,2839.891209206124,85280.26497744584
335,2020-12-22,,,,,2867.795628856724,85280.33702812249
336,2020-12-23,,,,,2895.9684212237607,85280.40691727884
337,2020-12-24,,,,,2924.412051459392,85280.4747097605
338,2020-12-25,,,,,2953.1290050337443,85280.5404684677
339,2020-12-26,,,,,2982.1217878546368,85280.60425441369
340,2020-12-27,,,,,3011.392926386943,85280.66612678129
341,2020-12-28,,,,,3040.944967771576,85280.72614297786
342,2020-12-29,,,,,3070.7804799440532,85280.78435868853
343,2020-12-30,,,,,3100.9020517526146,85280.84082792788
344,2020-12-31,,,,,3131.31229307586,85280.89560309006
345,2021-01-01,,,,,3162.0138349398712,85280.94873499738
346,2021-01-02,,,,,3193.009329634784,85281.00027294748
347,2021-01-03,,,,,3224.301450830775,85281.05026475908
348,2021-01-04,,,,,3255.8928936934285,85281.09875681633
349,2021-01-05,,,,,3287.7863749984454,85281.14579411186
350,2021-01-06,,,,,3319.9846332456527,85281.19142028852
351,2021-01-07,,,,,3352.4904287722798,85281.23567767988
352,2021-01-08,,,,,3385.3065438654594,85281.27860734951
353,2021-01-09,,,,,3418.4357828739144,85281.32024912904
354,2021-01-10,,,,,3451.880972318786,85281.36064165519
355,2021-01-11,,,,,3485.6449610035625,85281.39982240555
356,2021-01-12,,,,,3519.7306201230685,85281.4378277334
357,2021-01-13,,,,,3554.140843371461,85281.47469290142
358,2021-01-14,,,,,3588.878547049198,85281.5104521144
359,2021-01-15,,,,,3623.9466701689284,85281.54513855098
360,2021-01-16,,,,,3659.3481745602535,85281.57878439447
361,2021-01-17,,,,,3695.0860449733163,85281.61142086265
362,2021-01-18,,,,,3731.1632891811673,85281.6430782368
