,date,I,R,D,C,I_p,C_p
142,2020-06-12,118,79472,4638,84228,108.56895984274354,84228.0
143,2020-06-13,173,79475,4638,84286,122.86942582214635,84286.0
144,2020-06-14,215,79482,4638,84335,119.6662252998072,84335.0
145,2020-06-15,251,79489,4638,84378,234.1939922719078,84378.0
146,2020-06-16,291,79493,4638,84422,407.70260271513393,84422.0
147,2020-06-17,310,79510,4638,84458,369.902325496406,84458.0
148,2020-06-18,341,79515,4638,84494,391.7403798391817,84494.0
149,2020-06-19,341,79515,4638,84494,389.7186571647272,84494.0
150,2020-06-20,380,79534,4639,84553,400.652985773617,84553.0
151,2020-06-21,398,79535,4639,84572,393.99752239217446,84572.0
152,2020-06-22,438,79547,4639,84624,400.16263871169286,84624.0
153,2020-06-23,458,79555,4640,84653,469.5908688752865,84653.0
154,2020-06-24,471,79562,4640,84673,502.6744905500024,84673.0
155,2020-06-25,488,79572,4641,84701,526.5960081909174,84701.0
156,2020-06-26,504,79580,4641,84725,513.8801582175673,84725.0
157,2020-06-27,511,79591,4641,84743,516.3888334747649,84743.0
158,2020-06-28,507,79609,4641,84757,531.0461571628982,84757.0
159,2020-06-29,520,79619,4641,84780,528.6404600424642,84780.0
160,2020-06-30,512,79632,4641,84785,524.4483208285505,84785.0
161,2020-07-01,525,79650,4641,84816,531.7322770895728,84816.0
162,2020-07-02,524,79665,4641,84830,527.5699802911972,84830.0
163,2020-07-03,,,,,524.0,84843.58
164,2020-07-04,,,,,529.2361800026272,84856.7526
165,2020-07-05,,,,,534.5244856069882,84869.530022
166,2020-07-06,,,,,539.8654317332481,84881.92412134001
167,2020-07-07,,,,,545.2595383079397,84893.94639769981
168,2020-07-08,,,,,550.7073303110162,84905.60800576881
169,2020-07-09,,,,,556.2093378233144,84916.91976559574
170,2020-07-10,,,,,561.7660960744288,84927.89217262786
171,2020-07-11,,,,,567.3781454910011,84938.53540744903
172,2020-07-12,,,,,573.0460317454277,84948.85934522556
173,2020-07-13,,,,,578.7703058049877,84958.87356486879
174,2020-07-14,,,,,584.5515239813939,84968.58735792272
175,2020-07-15,,,,,590.3902479807706,84978.00973718503
176,2020-07-16,,,,,596.2870449540613,84987.14944506947
177,2020-07-17,,,,,602.242487547868,84996.01496171739
178,2020-07-18,,,,,608.2571539557249,85004.61451286587
179,2020-07-19,,,,,614.3316279698117,85012.95607747989
180,2020-07-20,,,,,620.4664990331066,85021.04739515549
181,2020-07-21,,,,,626.6623622919833,85028.89597330082
182,2020-07-22,,,,,632.9198186492547,85036.5090941018
183,2020-07-23,,,,,639.2394748176663,85043.89382127875
184,2020-07-24,,,,,645.621943373842,85051.05700664039
185,2020-07-25,,,,,652.067842812685,85058.00529644119
186,2020-07-26,,,,,658.5777976022366,85064.74513754796
