,date,beta,gamma,r0,dif,r0_p,dif_p
0,2020-01-25,0.26,0.01,26.0,0.25,26.0,0.25
1,2020-01-26,0.9900000000000008,0.5900000000000003,1.6779661016949157,0.40000000000000047,1.6779661016949157,0.40000000000000047
2,2020-01-27,0.9900000000000008,0.5700000000000003,1.7368421052631584,0.4200000000000005,1.7368421052631584,0.4200000000000005
3,2020-01-28,0.9900000000000008,0.6200000000000003,1.5967741935483875,0.37000000000000044,1.5967741935483875,0.37000000000000044
4,2020-01-29,0.4900000000000002,0.01,49.00000000000002,0.4800000000000002,1.2577623665506021,0.25000000000000006
5,2020-01-30,0.9900000000000008,0.5800000000000003,1.7068965517241383,0.4100000000000005,143.94651952461814,0.75
6,2020-01-31,0.19,0.01,19.0,0.18,-140.28253615127983,0.16000000000000192
7,2020-02-01,0.9900000000000008,0.7400000000000004,1.3378378378378382,0.25000000000000033,100.87931034482847,-0.2100000000000053
8,2020-02-02,0.19,0.01,19.0,0.18,-51.2795899347625,0.6200000000000045
9,2020-02-03,0.26,0.01,26.0,0.25,71.98648648648702,-0.030000000000002025
10,2020-02-04,0.9900000000000008,0.7300000000000004,1.3561643835616441,0.26000000000000034,22.33783783783855,0.459999999999984
11,2020-02-05,0.18,0.01,18.0,0.16999999999999998,-54.9315068493147,0.21000000000000485
12,2020-02-06,0.17,0.01,17.0,0.16,75.93150684931334,-0.02000000000000668
13,2020-02-07,0.1299999999999999,0.01,12.99999999999999,0.1199999999999999,-1.6438356164401284,0.23000000000000753
14,2020-02-08,0.9900000000000008,0.8900000000000006,1.1123595505617978,0.1000000000000002,5.999999999999744,0.0499999999999976
15,2020-02-09,0.09,0.01,9.0,0.08,-18.662921348316445,0.10000000000000231
16,2020-02-10,0.07,0.01,7.000000000000001,0.060000000000000005,36.66292134831724,0.05999999999999939
17,2020-02-11,0.9900000000000008,0.9300000000000006,1.0645161290322582,0.060000000000000164,-4.887640449436049,0.039999999999999925
18,2020-02-12,0.05,0.01,5.0,0.04,-8.806451612902151,0.07999999999999474
19,2020-02-13,0.9900000000000008,0.9700000000000006,1.020618556701031,0.02000000000000013,18.806451612907722,-1.021405182655144e-14
20,2020-02-14,0.1399999999999999,0.01,13.99999999999999,0.1299999999999999,-10.873628200866506,7.771561172376096e-16
21,2020-02-15,0.9900000000000008,0.7800000000000005,1.2692307692307694,0.2100000000000003,43.93814432989984,0.36999999999999034
22,2020-02-16,0.06,0.01,6.0,0.049999999999999996,-37.171689135609085,0.2599999999999989
23,2020-02-17,0.8800000000000006,0.8700000000000006,1.0114942528735633,0.010000000000000009,28.192307692307168,-0.35000000000005116
24,2020-02-18,0.9900000000000008,0.9800000000000006,1.0102040816326532,0.01000000000000012,-13.69628647214904,0.0899999999999821
25,2020-02-19,0.9900000000000008,0.9800000000000006,1.0102040816326532,0.01000000000000012,5.996129486277823,0.05000000000000959
26,2020-02-20,0.9800000000000006,0.9900000000000008,0.9898989898989898,-0.01000000000000012,1.0114942528735633,0.010000000000000009
27,2020-02-21,0.01,0.04,0.25,-0.03,0.9492888064316531,-0.050000000000013145
28,2020-02-22,0.0999999999999999,0.1199999999999999,0.8333333333333331,-0.020000000000000004,-1.2094928880638633,-0.04999999999999993
29,2020-02-23,0.9700000000000006,0.9900000000000008,0.9797979797979797,-0.02000000000000013,2.739898989899359,0.019999999999999574
30,2020-02-24,0.9600000000000006,0.9900000000000008,0.9696969696969696,-0.030000000000000138,0.6893939393937103,-0.030000000000002913
31,2020-02-25,0.01,0.03,0.33333333333333337,-0.019999999999999997,0.8030303030302974,-0.05000000000000426
32,2020-02-26,0.01,0.05,0.19999999999999998,-0.04,-0.929292929292501,0.01000000000000334
33,2020-02-27,0.01,0.06,0.16666666666666669,-0.049999999999999996,0.5696969696969632,-0.09000000000002295
34,2020-02-28,0.01,0.06,0.16666666666666669,-0.049999999999999996,0.2333333333332206,-0.05000000000001403
35,2020-02-29,0.9300000000000006,0.9900000000000008,0.9393939393939392,-0.060000000000000164,0.19999999999998863,-0.04000000000001158
