,I_t
0,643.0
1,558.9706176010116
2,485.9223344837183
3,422.42015664725454
4,367.216604630927
5,319.2272125297387
6,277.50922785224884
7,241.24309418048497
8,209.71635315917675
9,182.30964979362565
10,158.4845662981324
11,137.7730456160444
12,119.76819692951709
13,104.11630260223046
14,90.5098695824604
15,78.68158879887544
16,68.3990839089127
17,59.46034625894621
18,51.68976639054314
19,44.93468414214337
20,39.06238958027388
21,33.95751584872998
22,29.519772721756965
23,25.661976339215485
24,22.30833641935894
25,19.392967302393053
26,16.858593574717744
27,14.655424845994803
28,12.740177573993892
29,11.07522472079427
30,9.627856535087396
31,8.369637938353875
32,7.275849890451825
33,6.325003759926549
34,5.4984191585374
35,4.779856946267639
36,4.155200196926635
37,3.612176856661123
38,3.1401186467716156
39,2.7297514742713807
40,2.37301323261608
41,2.0628954131318613
42,1.7933054154492558
43,1.5589468518990226
44,1.355215494332747
45,1.1781088191402094
46,1.0241473733844628
47,0.8903064172124314
48,0.7739564995860577
49,0.6728117998827818
50,0.5848852204822901
51,0.5084493480863486
52,0.44200251681572983
53,0.38423930635786663
54,0.33402489557000586
55,0.29037276768706355
56,0.2524253291291574
57,0.2194370611445221
58,0.19075987328373603
59,0.1658303709585004
60,0.14415878694243944
61,0.1253193593613074
62,0.10894196713782026
63,0.0947048585603767
64,0.08232833012052578
65,0.07156923143309216
66,0.06221618828215486
67,0.05408544994443333
68,0.047017279206239326
69,0.040872814151956045
70,0.03553134007046828
71,0.030887917883179617
72,0.026851322501505702
73,0.023342250610633938
74,0.02029176266951148
75,0.017639928518455684
76,0.015334649985874317
77,0.013330637362922722
78,0.011588519637828228
79,0.010074071009466154
80,0.0087575384842043
81,0.007613057345923592
82,0.006618143015486751
83,0.005753249316680746
84,0.00500138447028628
85,0.00434777727205945
86,0.0037795868963283715
87,0.003285650623980237
88,0.0028562645386802804
89,0.0024829928828609083
90,0.0021585023280716953
91,0.0018764179037506828
92,0.0016311977539807143
93,0.0014180242616908122
94,0.0012327094013188991
95,0.0010716124604857858
96,0.0009315685142330533
97,0.0008098262466232974
98,0.0007039938981403092
99,0.0006119922769669711
100,0.0005320139109962185
101,0.00046248753807180795
102,0.0004020472368309768
103,0.00034950559169075966
104,0.0003038303647748743
105,0.00026412421647575965
106,0.0002296070762401081
107,0.00019960081723276196
108,0.0001735159337960462
109,0.00015083995996870788
110,0.00013112740153364561
111,0.00011399098379853576
112,9.909404316246741e-05
113,8.614391299262205e-05
114,7.488617386933686e-05
115,6.509965523935086e-05
116,5.659209027926437e-05
117,4.919633860426955e-05
118,4.2767102613148805e-05
119,3.717807295856008e-05
120,3.2319447062262e-05
121,2.8095771923806404e-05
122,2.442406884232411e-05
123,2.1232203209519842e-05
124,1.84574673466832e-05
125,1.604534854400433e-05
126,1.3948458098984205e-05
127,1.2125600313731904e-05
128,1.0540963160586315e-05
129,9.163414715806369e-06
130,7.96589153900295e-06
131,6.924866982359919e-06
132,6.019888983999465e-06
133,5.233178264938762e-06
134,4.54927903577928e-06
135,3.954755350881017e-06
136,3.437927144568501e-06
137,2.988640763512176e-06
138,2.5980694871437408e-06
139,2.258540117111613e-06
140,1.9633822289374025e-06
141,1.7067971242578987e-06
142,1.4837439090765595e-06
143,1.2898404599076064e-06
144,1.1212773321847011e-06
145,9.747429195710763e-07
146,8.473583938442065e-07
147,7.366211471781578e-07
148,6.403556256856155e-07
149,5.566705882909452e-07
150,4.839219512382709e-07
151,4.2068048827444154e-07
152,3.657037519417793e-07
153,3.1791166434381016e-07
154,2.7636529783796585e-07
155,2.4024842877884374e-07
156,2.0885150191520874e-07
157,1.8155769040384048e-07
158,1.5783077757400786e-07
159,1.3720462236662712e-07
160,1.1927400148517636e-07
161,1.036866483424408e-07
162,9.013633239952238e-08
163,7.83568429331866e-08
164,6.811675903609996e-08
165,5.9214903100913014e-08
166,5.147638846692959e-08
167,4.474918358107361e-08
168,3.890112517235167e-08
169,3.381732176036867e-08
170,2.939789648699177e-08
171,2.555602492663101e-08
172,2.2216229325781162e-08
173,1.931289576030179e-08
174,1.6788985078374365e-08
175,1.459491230420603e-08
176,1.2687572487144642e-08
177,1.1029493857949343e-08
178,9.58810165504873e-09
179,8.33507815785126e-09
180,7.245806354264824e-09
181,6.298886312667662e-09
182,5.47571475693096e-09
183,4.760119584786265e-09
184,4.138042149252782e-09
185,3.5972610611969417e-09
186,3.1271520868245412e-09
187,2.7184794230300377e-09
188,2.3632142499797687e-09
189,2.0543769961968667e-09
190,1.785900217273568e-09
191,1.5525093943137885e-09
192,1.3496193102614724e-09
193,1.173243968314759e-09
194,1.0199182826750476e-09
195,8.866300031603859e-10
196,7.70760536268028e-10
197,6.700335000514462e-10
198,5.824700021162903e-10
199,5.063497621227915e-10
