,beta,gamma,sse
0,0.01,0.02,5604649.205213232
1,0.01,0.03,3960757.8769753664
2,0.02,0.03,5604546.940678363
3,0.01,0.04,2650190.402293409
4,0.02,0.04,3960675.3398226257
5,0.03,0.04,5604444.395883975
6,0.01,0.05,1638814.8419263489
7,0.02,0.05,2650125.5805900595
8,0.03,0.05,3960592.5804787506
9,0.04,0.05,5604341.570840588
10,0.01,0.060000000000000005,895655.4559862299
11,0.02,0.060000000000000005,1638765.9098333167
12,0.03,0.060000000000000005,2650060.5874181576
13,0.04,0.060000000000000005,3960509.59895292
14,0.05,0.060000000000000005,5604238.465558782
15,0.01,0.07,392607.4042950123
16,0.02,0.07,895620.7569104449
17,0.03,0.07,1638716.8504910364
18,0.04,0.07,2649995.422785719
19,0.05,0.07,3960426.395254379
20,0.060000000000000005,0.07,5604135.080049155
21,0.01,0.08,104177.19149820489
22,0.02,0.08,392585.43556541426
23,0.03,0.08,895585.9690497329
24,0.04,0.08,1638667.6639065119
25,0.05,0.08,2649930.086700811
26,0.060000000000000005,0.08,3960342.969392392
27,0.07,0.08,5604031.414322325
28,0.01,0.09,7246.523068811725
29,0.02,0.09,104166.59042686604
30,0.03,0.09,392563.411424745
31,0.04,0.09,895551.0924101523
32,0.05,0.09,1638618.3500867342
33,0.060000000000000005,0.09,2649864.5791715067
34,0.07,0.09,3960259.3213762436
35,0.08,0.09,5603927.468388962
36,0.01,0.09999999999999999,80857.45115044317
37,0.02,0.09999999999999999,7246.054271410567
38,0.03,0.09999999999999999,104155.96281805236
39,0.04,0.09999999999999999,392541.3318782635
40,0.05,0.09999999999999999,895516.126997798
41,0.060000000000000005,0.09999999999999999,1638568.9090387411
42,0.07,0.09999999999999999,2649798.9002058953
43,0.08,0.09999999999999999,3960175.4512152355
44,0.09,0.09999999999999999,5603823.2422597585
45,0.01,0.10999999999999999,306016.8824970905
46,0.02,0.10999999999999999,80865.99501171238
47,0.03,0.10999999999999999,7245.583833946094
48,0.04,0.10999999999999999,104145.30867629827
49,0.05,0.10999999999999999,392519.1969312387
50,0.060000000000000005,0.10999999999999999,895481.072818761
51,0.07,0.10999999999999999,1638519.3407695806
52,0.08,0.10999999999999999,2649733.0498121143
53,0.09,0.10999999999999999,3960091.35891873
54,0.09999999999999999,0.10999999999999999,5603718.735945441
55,0.01,0.11999999999999998,665518.6963634948
56,0.02,0.11999999999999998,306033.4246773808
57,0.03,0.11999999999999998,80874.55861950685
58,0.04,0.11999999999999998,7245.111760317586
59,0.05,0.11999999999999998,104134.6280061506
60,0.060000000000000005,0.11999999999999998,392497.0065889446
61,0.07,0.11999999999999998,895445.929879168
62,0.08,0.11999999999999998,1638469.645286317
63,0.09,0.11999999999999998,2649667.0279982844
64,0.09999999999999999,0.11999999999999998,3960007.044496076
65,0.10999999999999999,0.11999999999999998,5603613.949456759
66,0.01,0.12999999999999998,1143781.879713954
67,0.02,0.12999999999999998,665542.3182520501
