,beta,gamma,sse
0,0.02,0.01,20681.376246638276
1,0.03,0.01,13035.095088572289
2,0.03,0.02,20681.854506775057
3,0.04,0.01,6988.021838229349
4,0.04,0.02,13035.48828389303
5,0.04,0.03,20682.33286391383
6,0.05,0.01,2772.701079585545
7,0.05,0.02,6988.317333420591
8,0.05,0.03,13035.881561203045
9,0.05,0.04,20682.81131805697
10,0.060000000000000005,0.01,647.3094421163843
11,0.060000000000000005,0.02,2772.884834696814
12,0.060000000000000005,0.03,6988.612892444889
13,0.060000000000000005,0.04,13036.274920505311
14,0.060000000000000005,0.05,20683.28986920695
15,0.07,0.01,898.299870878694
16,0.07,0.02,647.3658665171846
17,0.07,0.03,2773.0686318828916
18,0.07,0.04,6988.9085153057085
19,0.07,0.05,13036.668361802775
20,0.07,0.060000000000000005,20683.768517366134
21,0.08,0.01,3843.313829180798
22,0.08,0.02,898.2116622738909
23,0.08,0.03,647.422307112857
24,0.08,0.04,2773.252471147918
25,0.08,0.05,6989.204202006591
26,0.08,0.060000000000000005,13037.061885098286
27,0.08,0.07,20684.24726253686
28,0.09,0.01,9834.38850543047
29,0.09,0.02,3843.061796154805
30,0.09,0.03,898.1234392733095
31,0.09,0.04,647.4787639083352
32,0.09,0.05,2773.436352496094
33,0.09,0.060000000000000005,6989.499952551032
34,0.09,0.07,13037.455490394772
35,0.09,0.08,20684.726104721613
36,0.09999999999999999,0.01,19261.488835717595
37,0.09999999999999999,0.02,9833.951371832925
38,0.09999999999999999,0.03,3842.8097127642095
39,0.09999999999999999,0.04,898.0352018827648
40,0.09999999999999999,0.05,647.5352369085551
41,0.09999999999999999,0.060000000000000005,2773.620275931594
42,0.09999999999999999,0.07,6989.795766942537
43,0.09999999999999999,0.08,13037.84917769518
44,0.09999999999999999,0.09,20685.205043922775
45,0.10999999999999999,0.01,32556.397171604192
46,0.10999999999999999,0.02,19260.84302502934
47,0.10999999999999999,0.03,9833.514145767766
48,0.10999999999999999,0.04,3842.5575790158546
49,0.10999999999999999,0.05,897.946950108077
50,0.10999999999999999,0.060000000000000005,647.5917261184591
51,0.10999999999999999,0.07,2773.804241458548
52,0.10999999999999999,0.08,6990.0916451845715
53,0.10999999999999999,0.09,13038.24294700236
54,0.10999999999999999,0.09999999999999999,20685.684080142717
55,0.11999999999999998,0.01,50196.99674668579
56,0.11999999999999998,0.02,32555.51656922961
57,0.11999999999999998,0.03,19260.1970727797
58,0.11999999999999998,0.04,9833.076827242801
59,0.11999999999999998,0.05,3842.305394916552
60,0.11999999999999998,0.060000000000000005,897.8586839550594
61,0.11999999999999998,0.07,647.6482315429946
62,0.11999999999999998,0.08,2773.9882490811783
63,0.11999999999999998,0.09,6990.387587280675
64,0.11999999999999998,0.09999999999999999,13038.636798319274
65,0.11999999999999998,0.10999999999999999,20686.16321338388
66,0.12999999999999998,0.01,72711.98875685563
67,0.12999999999999998,0.02,50195.85243790639
68,0.12999999999999998,0.03,32554.635768239685
69,0.12999999999999998,0.04,19259.55097897796
70,0.12999999999999998,0.05,9832.639416266145
71,0.12999999999999998,0.060000000000000005,3842.0531604731154
72,0.12999999999999998,0.07,897.7704034295415
73,0.12999999999999998,0.08,647.7047531870944
74,0.12999999999999998,0.09,2774.172298803611
75,0.12999999999999998,0.09999999999999999,6990.683593234287
76,0.12999999999999998,0.10999999999999999,13039.030731648814
77,0.12999999999999998,0.11999999999999998,20686.642443648663
78,0.13999999999999999,0.01,100686.08690209148
79,0.13999999999999999,0.02,72710.5487379444
80,0.13999999999999999,0.03,50194.707864399636
81,0.13999999999999999,0.04,32553.7547686452
82,0.13999999999999999,0.05,19258.90474363341
83,0.13999999999999999,0.060000000000000005,9832.20191284572
84,0.13999999999999999,0.07,3841.8008756923477
85,0.13999999999999999,0.08,897.682108537336
86,0.13999999999999999,0.09,647.7612910557133
87,0.13999999999999999,0.09999999999999999,2774.3563906300724
88,0.13999999999999999,0.10999999999999999,6990.979663048982
89,0.13999999999999999,0.11999999999999998,13039.42474699393
90,0.13999999999999999,0.12999999999999998,20687.121770939455
91,0.15,0.01,134765.73767972377
92,0.15,0.02,100684.31576182786
93,0.15,0.03,72709.10837789287
94,0.15,0.04,50193.5630261781
95,0.15,0.05,32552.873570456875
96,0.15,0.060000000000000005,19258.258366755217
97,0.15,0.07,9831.764316989445
98,0.15,0.08,3841.548540581108
99,0.15,0.09,897.5937992842705
100,0.15,0.09999999999999999,647.8178451537858
101,0.15,0.10999999999999999,2774.5405245647144
102,0.15,0.11999999999999998,6991.275796728258
103,0.15,0.12999999999999998,13039.818844357502
104,0.15,0.13999999999999999,20687.60119525868
105,0.16,0.01,175665.41961209476
106,0.16,0.02,134763.59624826675
107,0.16,0.03,100682.54419230399
108,0.16,0.04,72707.66767671565
109,0.16,0.05,50192.41792325387
110,0.16,0.060000000000000005,32551.992173685416
111,0.16,0.07,19257.611848352746
112,0.16,0.08,9831.326628705254
113,0.16,0.09,3841.2961551461985
