,I_t
0,7372.0
1,6805.210115656191
2,6281.997381403739
3,5799.011406195586
4,5353.159390801353
5,4941.58632310097
6,4561.656696043194
7,4210.937631200699
8,3887.183299854018
9,3588.3205418452617
10,3312.4355901123927
11,3057.7618158949836
12,2822.6684161382036
13,2605.6499706551026
14,2405.3168021767133
15,2220.3860775607504
16,2049.6735931756716
17,1892.086191857948
18,1746.6147628846563
19,1612.3277801368238
20,1488.3653370752447
21,1373.9336403318136
22,1268.299926656153
23,1170.7877706682614
24,1080.7727533704222
25,997.678463681732
26,920.9728073911101
27,850.164599893199
28,784.8004208887668
29,724.4617109087079
30,668.7620910692524
31,617.3448888954522
32,569.8808543695691
33,526.0660515790931
34,485.61991246356797
35,448.2834401974018
36,413.81755070403165
37,382.00154168133463
38,352.63167933469504
39,325.5198937678781
40,300.49257467764943
41,277.3894596403744
42,256.062607871744
43,236.37545288809963
44,218.20192800307706
45,201.4256590596877
46,185.93921922850015
47,171.64344110002318
48,158.44678166627477
49,146.2647361251982
50,135.0192967542225
51,124.6384533878651
52,115.05573230068565
53,106.20977054282868
54,98.04392300241331
55,90.50589967859457
56,83.54743084257473
57,77.12395794242356
58,71.19434827241697
59,65.72063157977932
60,60.66775692219102
61,56.003368219098576
62,51.69759705957031
63,47.72287143994279
64,44.053739206509846
65,40.66670507266944
66,37.540080166867924
67,34.65384314792199
68,31.98951199837034
69,29.530025674884037
70,27.259634857883867
71,25.163801100780038
72,23.229103733036425
73,21.443153920913186
74,19.794515335575774
75,18.27263092056861
76,16.86775528970899
77,15.570892322511211
78,14.373737557533163
79,13.268625014761318
80,12.24847810651121
81,11.306764322501417
82,10.43745339892694
83,9.634978703667644
84,8.894201590361988
85,8.210378493087347
86,7.579130550937755
87,6.996415567990041
88,6.458502129104035
89,5.961945705807377
90,5.503566599258964
91,5.080429579048833
92,4.68982508745152
93,4.329251888774359
94,3.9964010526958282
95,3.6891411690312443
96,3.4055046992485836
97,3.1436753773363506
98,2.90197657934497
99,2.678860587126058
100,2.4728986775199324
101,2.2827719735274856
102,2.1072629988818936
103,1.945247881939872
104,1.795689158970097
105,1.6576291307546533
106,1.530183729962508
107,1.4125368600247403
108,1.3039351692605166
109,1.203683226789929
110,1.1111390693426573
111,1.0257100904464465
112,0.9468492456718175
113,0.8740515496333003
114,0.8068508423157368
115,0.7448168040188252
116,0.6875521998051061
117,0.6346903358062114
118,0.5858927110988373
119,0.5408468501142284
120,0.4992643017010078
121,0.4608787920283544
122,0.42544451950164214
123,0.392734580772035
124,0.3625395177609907
125,0.3346659763955454
126,0.3089354684655909
127,0.28518322867469825
128,0.2632571595656134
129,0.2430168575642551
130,0.224332713905489
131,0.20708508468345618
132,0.19116352471187345
133,0.17646608028833075
134,0.16289863633380175
135,0.150374313726776
136,0.1388129129728417
137,0.1281404006472579
138,0.11828843532195119
139,0.1091939299412104
140,0.10079864784375266
141,0.09304882984428799
142,0.08589484998659945
143,0.07929089776375398
144,0.07319468477054095
145,0.06756717390968768
146,0.06237232941782389
147,0.057576886110486496
148,0.05315013636852525
149,0.049063733501876775
150,0.04529151023154695
151,0.04180931112745117
152,0.03859483792912822
153,0.03562750675883902
154,0.032888316312714425
155,0.030359726185914055
156,0.028025544552651514
157,0.025870824481844912
158,0.023881768224450144
159,0.022045638859580843
160,0.020350678733640968
161,0.018786034170195077
162,0.017341685968455953
163,0.01600838524533669
164,0.014777594210231821
165,0.013641431493278879
166,0.01259262167700986
167,0.01162444870821862
168,0.010730712891717061
169,0.00990569119058967
170,0.009144100578729095
171,0.008441064210980745
172,0.00779208019426695
173,0.007192992759716578
174,0.0066399656512008635
175,0.006129457559868934
176,0.005658199447378117
177,0.005223173612608324
178,0.004821594367814222
179,0.004450890200474967
180,0.004108687306614879
181,0.0037927943901507103
182,0.00350118863092812
183,0.0032320027315936905
184,0.002983512960357128
185,0.002754128113075487
186,0.002542379323978129
187,0.002346910659785392
188,0.0021664704369904184
189,0.0019999032067043615
190,0.001846142355739921
191,0.0017042032765542604
192,0.0015731770623150293
193,0.0014522246867158554
194,0.0013405716312717537
195,0.0012375029256903414
196,0.0011423585695598793
197,0.0010545293060369196
198,0.000973452720470372
199,0.0008986096389795277
