,beta,gamma,sse
0,0.01,0.02,5783367.579640623
1,0.01,0.03,3893483.6071269
2,0.02,0.03,5783248.905314002
3,0.01,0.04,2429693.7527650734
4,0.02,0.04,3893390.1275022263
5,0.03,0.04,5783129.857216737
6,0.01,0.05,1347752.549122846
7,0.02,0.05,2429622.8630432626
8,0.03,0.05,3893296.3585226135
9,0.04,0.05,5783010.435364122
10,0.01,0.060000000000000005,607526.5638181944
11,0.02,0.060000000000000005,1347701.8866652092
12,0.03,0.060000000000000005,2429551.7575336043
13,0.04,0.060000000000000005,3893202.3002014076
14,0.05,0.060000000000000005,5782890.639771543
15,0.01,0.07,172621.85583275018
16,0.02,0.07,607493.986169169
17,0.03,0.07,1347651.0723902318
18,0.04,0.07,2429480.436247711
19,0.05,0.07,3893107.9525520178
20,0.060000000000000005,0.07,5782770.470454438
21,0.01,0.08,10045.08647468824
22,0.02,0.08,172605.42073290885
23,0.03,0.08,607461.3121882939
24,0.04,0.08,1347600.1063079983
25,0.05,0.08,2429408.8991972273
26,0.060000000000000005,0.08,3893013.3155878815
27,0.07,0.08,5782649.927428257
28,0.01,0.09,89895.23235742471
29,0.02,0.09,10043.033682946618
30,0.03,0.09,172588.93728848046
31,0.04,0.09,607428.5418842881
32,0.05,0.09,1347548.9884286094
33,0.060000000000000005,0.09,2429337.146393869
34,0.07,0.09,3892918.3893224755
35,0.08,0.09,5782529.010708543
36,0.01,0.09999999999999999,385083.12619646284
37,0.02,0.09999999999999999,89905.96711796013
38,0.03,0.09999999999999999,10040.973911630677
39,0.04,0.09999999999999999,172572.40550699324
40,0.05,0.09999999999999999,607395.67526591
41,0.060000000000000005,0.09999999999999999,1347497.7187622187
42,0.07,0.09999999999999999,2429265.1778493403
43,0.08,0.09999999999999999,3892823.1737693297
44,0.09,0.09999999999999999,5782407.720310838
45,0.01,0.10999999999999999,871076.304137172
46,0.02,0.10999999999999999,385105.20420086116
47,0.03,0.10999999999999999,89916.73041919233
48,0.04,0.10999999999999999,10038.90716720877
49,0.05,0.10999999999999999,172555.82539599616
50,0.060000000000000005,0.10999999999999999,607362.7123419294
51,0.07,0.10999999999999999,1347446.2973190006
52,0.08,0.10999999999999999,2429192.9935754165
53,0.09,0.10999999999999999,3892727.668942027
54,0.09999999999999999,0.10999999999999999,5782286.056250809
55,0.01,0.11999999999999998,1525666.86806026
56,0.02,0.11999999999999998,871108.4178460257
