,beta,gamma,sse
0,0.01,0.02,89570505.66055056
1,0.01,0.03,32519498.131376967
2,0.02,0.03,89566508.34037682
3,0.01,0.04,5084403.696603468
4,0.02,0.04,32517219.073312193
5,0.03,0.04,89562396.05843996
6,0.01,0.05,3969502.5600578333
7,0.02,0.05,5083651.082522929
8,0.03,0.05,32514875.238946885
9,0.04,0.05,89558168.8240923
10,0.01,0.060000000000000005,26192720.645687774
11,0.02,0.060000000000000005,3970103.043696882
12,0.03,0.060000000000000005,5082876.883969121
13,0.04,0.060000000000000005,32512466.63627348
14,0.05,0.060000000000000005,89553826.64695829
15,0.01,0.07,69056915.92645434
16,0.02,0.07,26194517.634400453
17,0.03,0.07,3970718.972660319
18,0.04,0.07,5082081.107741876
19,0.05,0.07,32509993.27351362
20,0.060000000000000005,0.07,89549369.53693296
21,0.01,0.08,130123771.71264848
22,0.02,0.08,69059768.02209267
23,0.03,0.08,26196361.673163995
24,0.04,0.08,3971350.3527038395
25,0.05,0.08,5081263.760834272
26,0.060000000000000005,0.08,32507455.159118142
27,0.07,0.08,89544797.50418341
28,0.01,0.09,207190059.84384555
29,0.02,0.09,130127551.2967399
30,0.03,0.09,69062694.00041258
31,0.04,0.09,26198252.766820163
32,0.05,0.09,3971997.1897446224
33,0.060000000000000005,0.09,5080424.85043212
34,0.07,0.09,32504852.30176711
35,0.08,0.09,89540110.55914637
36,0.01,0.09999999999999999,298266058.37833875
37,0.02,0.09999999999999999,207194651.79363382
38,0.03,0.09999999999999999,130131427.4024964
39,0.04,0.09999999999999999,69065693.86545561
40,0.05,0.09999999999999999,26200190.920345575
41,0.060000000000000005,0.09999999999999999,3972659.4898612984
42,0.07,0.09999999999999999,5079564.383913776
43,0.08,0.09999999999999999,32502184.71036914
44,0.09,0.09999999999999999,89535308.71253079
45,0.01,0.10999999999999999,401555928.03755295
46,0.02,0.10999999999999999,298271358.9015269
47,0.03,0.10999999999999999,207199359.2227437
48,0.04,0.10999999999999999,130135400.03326246
49,0.05,0.10999999999999999,69068767.62137645
50,0.060000000000000005,0.10999999999999999,26202176.138850193
51,0.07,0.10999999999999999,3973337.259294039
52,0.08,0.10999999999999999,5078682.36885053
53,0.09,0.10999999999999999,32499452.39406224
54,0.09999999999999999,0.10999999999999999,89530391.97531642
55,0.01,0.11999999999999998,515439869.5233949
