,beta,gamma,sse
0,0.01,0.02,156757436.59266913
1,0.01,0.03,109024647.77210328
2,0.02,0.03,156754435.82965136
3,0.01,0.04,71332338.02358373
4,0.02,0.04,109022246.37908775
5,0.03,0.04,156751390.32893977
6,0.01,0.05,42645792.40204936
7,0.02,0.05,71330474.19916074
8,0.03,0.05,109019809.87690264
9,0.04,0.05,156748300.09235102
10,0.01,0.060000000000000005,22026229.12105029
11,0.02,0.060000000000000005,42644410.10959466
12,0.03,0.060000000000000005,71328583.66652213
13,0.04,0.060000000000000005,109017338.26712948
14,0.05,0.060000000000000005,156745165.12173042
15,0.01,0.07,8622116.894594442
16,0.02,0.07,22025277.562457185
17,0.03,0.07,42643008.423553675
18,0.04,0.07,71326666.42704101
19,0.05,0.07,109014831.55137414
20,0.060000000000000005,0.07,156741985.41895187
21,0.01,0.08,1661276.274850579
22,0.02,0.08,8621550.032043768
23,0.03,0.08,22024312.964005873
24,0.04,0.08,42641587.345116034
25,0.05,0.08,71324722.48211187
26,0.060000000000000005,0.08,109012289.73126663
27,0.07,0.08,156738760.98591727
28,0.01,0.09,443693.89066435746
29,0.02,0.09,1661052.3962024027
30,0.03,0.09,8620975.63382935
31,0.04,0.09,22023335.326724313
32,0.05,0.09,42640146.87548931
33,0.060000000000000005,0.09,71322751.8331494
34,0.07,0.09,109009712.8084608
35,0.08,0.09,156735491.82455698
36,0.01,0.09999999999999999,4334984.975746573
37,0.02,0.09999999999999999,443775.21446728037
38,0.03,0.09999999999999999,1660825.7354324197
39,0.04,0.09999999999999999,8620393.700836724
40,0.05,0.09999999999999999,22022344.651655514
41,0.060000000000000005,0.09999999999999999,42638687.01589879
42,0.07,0.09999999999999999,71320754.48158924
43,0.08,0.09999999999999999,109007100.7846355
44,0.09,0.09999999999999999,156732177.93682957
45,0.01,0.10999999999999999,12760445.464921517
46,0.02,0.10999999999999999,4335337.29222854
47,0.03,0.10999999999999999,443857.84682424
48,0.04,0.10999999999999999,1660596.2933003185
49,0.05,0.10999999999999999,8619804.23396381
50,0.060000000000000005,0.10999999999999999,22021340.939857714
51,0.07,0.10999999999999999,42637207.76758745
52,0.08,0.10999999999999999,71318730.42888796
53,0.09,0.10999999999999999,109004453.66149303
54,0.09999999999999999,0.10999999999999999,156728819.32472283
55,0.01,0.11999999999999998,25199640.286677293
56,0.02,0.11999999999999998,12761037.809664859
57,0.03,0.11999999999999998,4335694.423003771
58,0.04,0.11999999999999998,443941.788384274
59,0.05,0.11999999999999998,1660364.0705765171
60,0.060000000000000005,0.11999999999999998,8619207.234121613
61,0.07,0.11999999999999998,22020324.192403838
62,0.08,0.11999999999999998,42635709.131816074
63,0.09,0.11999999999999998,71316679.67652267
64,0.09999999999999999,0.11999999999999998,109001771.44076097
65,0.10999999999999999,0.11999999999999998,156725415.9902516
66,0.01,0.12999999999999998,41181479.34008555
67,0.02,0.12999999999999998,25200444.64398556
68,0.03,0.12999999999999998,12761637.958674729
69,0.04,0.12999999999999998,4336056.368624104
70,0.05,0.12999999999999998,444027.03980546095
71,0.060000000000000005,0.12999999999999998,1660129.0680422164
72,0.07,0.12999999999999998,8618602.702233717
73,0.08,0.12999999999999998,22019294.410382345
74,0.09,0.12999999999999998,42634191.10986301
75,0.09999999999999999,0.12999999999999998,71314602.22599126
76,0.10999999999999999,0.12999999999999998,108999054.12419033
77,0.11999999999999998,0.12999999999999998,156721967.93545955
78,0.01,0.13999999999999999,60279737.05901631
79,0.02,0.13999999999999999,41182470.37332363
80,0.03,0.13999999999999999,25201259.34115371
81,0.04,0.13999999999999999,12762245.91241727
82,0.05,0.13999999999999999,4336423.129648828
83,0.060000000000000005,0.13999999999999999,444113.601754964
84,0.07,0.13999999999999999,1659891.2864894336
85,0.08,0.13999999999999999,8617990.639236428
86,0.09,0.13999999999999999,22018251.59489637
87,0.09999999999999999,0.13999999999999999,42632653.70302409
88,0.10999999999999999,0.13999999999999999,71312498.07881215
89,0.11999999999999998,0.13999999999999999,108996301.713557
90,0.12999999999999998,0.13999999999999999,156718475.1624192
91,0.01,0.15,82108975.47739837
92,0.02,0.15,60280891.865460396
93,0.03,0.15,41183473.88210426
94,0.04,0.15,25202084.378572866
95,0.05,0.15,12762861.67136497
96,0.060000000000000005,0.15,4336794.706644745
97,0.07,0.15,444201.4749089776
98,0.08,0.15,1659650.726720939
99,0.09,0.15,8617371.04607889
100,0.09999999999999999,0.15,22017195.747064237
101,0.10999999999999999,0.15,42631096.91261327
102,0.11999999999999998,0.15,71310367.23652534
103,0.12999999999999998,0.15,108993514.21066059
104,0.13999999999999999,0.15,156714937.6732309
105,0.01,0.16,106320834.3531793
106,0.02,0.16,82110273.36535412
107,0.03,0.16,60282060.931539536
108,0.04,0.16,41184489.86675263
109,0.05,0.16,25202919.75663917
110,0.060000000000000005,0.16,12763485.23599664
111,0.07,0.16,4337171.100186418
112,0.08,0.16,444290.65995278384
113,0.09,0.16,1659407.3895502142
114,0.09999999999999999,0.16,8616743.923723044
115,0.10999999999999999,0.16,22016126.868019346
116,0.11999999999999998,0.16,42629520.73996192
117,0.12999999999999998,0.16,71308209.70069042
118,0.13999999999999999,0.16,108990691.61732562
119,0.15,0.16,156711355.470023
120,0.01,0.17,132600655.2193779
121,0.02,0.17,106322256.63933975
122,0.03,0.17,82111586.98830487
123,0.04,0.17,60283244.257521555
124,0.05,0.17,41185518.327598155
125,0.060000000000000005,0.17,25203765.4757543
126,0.07,0.17,12764116.60679727
127,0.08,0.17,4337552.310855739
128,0.09,0.17,444381.1575806935
129,0.09999999999999999,0.17,1659161.2758016137
130,0.10999999999999999,0.17,8616109.273143519
131,0.11999999999999998,0.17,22015044.958910003
132,0.12999999999999998,0.17,42627925.18641907
133,0.13999999999999999,0.17,71306025.47288862
134,0.15,0.17,108987833.9354003
135,0.16,0.17,156707728.55495322
136,0.01,0.18000000000000002,160664409.23875716
137,0.02,0.18000000000000002,132602185.04457137
138,0.03,0.18000000000000002,106323695.86512229
139,0.04,0.18000000000000002,82112916.3464678
140,0.05,0.18000000000000002,60284441.84367729
141,0.060000000000000005,0.18000000000000002,41186559.26497452
142,0.07,0.18000000000000002,25204621.536324896
143,0.08,0.18000000000000002,12764755.784258425
144,0.09,0.18000000000000002,4337938.339242413
145,0.09999999999999999,0.18000000000000002,444472.96849611157
146,0.10999999999999999,0.18000000000000002,1658912.3863101897
147,0.11999999999999998,0.18000000000000002,8615467.095327727
148,0.12999999999999998,0.18000000000000002,22013950.020899724
149,0.13999999999999999,0.18000000000000002,42626310.25335162
150,0.15,0.18000000000000002,71303814.55472143
151,0.16,0.18000000000000002,108984941.16675724
152,0.17,0.18000000000000002,156704056.93020675
153,0.01,0.19000000000000003,190255901.47202536
154,0.02,0.19000000000000003,160666031.40041378
155,0.03,0.19000000000000003,132603732.77696559
156,0.04,0.19000000000000003,106325152.03070012
157,0.05,0.19000000000000003,82114261.44006264
158,0.060000000000000005,0.19000000000000003,60285653.69028133
159,0.07,0.19000000000000003,41187612.67921996
160,0.08,0.19000000000000003,25205487.938762967
161,0.09,0.19000000000000003,12765402.768877696
162,0.09999999999999999,0.19000000000000003,4338329.1859436
163,0.10999999999999999,0.19000000000000003,444566.093411462
164,0.11999999999999998,0.19000000000000003,1658660.7219217785
165,0.12999999999999998,0.19000000000000003,8614817.391275685
166,0.13999999999999999,0.19000000000000003,22012842.055167034
167,0.15,0.19000000000000003,42624675.94214429
168,0.16,0.19000000000000003,71301576.94781135
169,0.17,0.19000000000000003,108982013.31329338
170,0.18000000000000002,0.19000000000000003,156700340.59799752
171,0.01,0.20000000000000004,221144226.65326282
172,0.02,0.20000000000000004,190257602.27183694
173,0.03,0.20000000000000004,160667672.22964787
174,0.04,0.20000000000000004,132605298.41669498
175,0.05,0.20000000000000004,106326625.1362484
176,0.060000000000000005,0.20000000000000004,82115622.2693121
177,0.07,0.20000000000000004,60286879.797611326
178,0.08,0.20000000000000004,41188678.570676565
179,0.09,0.20000000000000004,25206364.68348547
180,0.09999999999999999,0.20000000000000004,12766057.56115916
181,0.10999999999999999,0.20000000000000004,4338724.851564082
182,0.11999999999999998,0.20000000000000004,444660.5330482522
183,0.12999999999999998,0.20000000000000004,1658406.2834930196
184,0.13999999999999999,0.20000000000000004,8614160.162000416
185,0.15,0.20000000000000004,22011721.06290536
186,0.16,0.20000000000000004,42623022.254198834
187,0.17,0.20000000000000004,71299312.65380144
188,0.18000000000000002,0.20000000000000004,108979050.37693033
189,0.19000000000000003,0.20000000000000004,156696579.5605671
190,0.01,0.21000000000000005,253121453.82342583
191,0.02,0.21000000000000005,221145993.75865567
192,0.03,0.21000000000000005,190259322.31883883
193,0.04,0.21000000000000005,160669331.7265613
194,0.05,0.21000000000000005,132606881.96389599
195,0.060000000000000005,0.21000000000000005,106328115.18194437
196,0.07,0.21000000000000005,82116998.8344414
197,0.08,0.21000000000000005,60288120.1659489
198,0.09,0.21000000000000005,41189756.93969108
199,0.09999999999999999,0.21000000000000005,25207251.770914767
200,0.10999999999999999,0.21000000000000005,12766720.161612999
201,0.11999999999999998,0.21000000000000005,4339125.336716181
202,0.12999999999999998,0.21000000000000005,444756.28813704435
203,0.13999999999999999,0.21000000000000005,1658149.0718912755
204,0.15,0.21000000000000005,8613495.408527443
205,0.16,0.21000000000000005,22010587.045323238
206,0.17,0.21000000000000005,42621349.19093542
207,0.18000000000000002,0.21000000000000005,71297021.6743555
208,0.19000000000000003,0.21000000000000005,108976052.35961336
209,0.20000000000000004,0.21000000000000005,156692773.82018661
210,0.01,0.22000000000000006,286000519.2240656
211,0.02,0.22000000000000006,253123276.1415915
212,0.03,0.22000000000000006,221147780.53349525
213,0.04,0.22000000000000006,190261061.6131041
214,0.05,0.22000000000000006,160671009.89125553
215,0.060000000000000005,0.22000000000000006,132608483.41870631
216,0.07,0.22000000000000006,106329622.1679678
217,0.08,0.22000000000000006,82118391.13567892
218,0.09,0.22000000000000006,60289374.79557886
219,0.09999999999999999,0.22000000000000006,41190847.78661408
220,0.10999999999999999,0.22000000000000006,25208149.201478377
221,0.11999999999999998,0.22000000000000006,12767390.570755947
222,0.12999999999999998,0.22000000000000006,4339530.6420198465
223,0.13999999999999999,0.22000000000000006,444853.35941744875
224,0.15,0.22000000000000006,1657889.0879947073
225,0.16,0.22000000000000006,8612823.131895203
226,0.17,0.22000000000000006,22009440.00364425
227,0.18000000000000002,0.22000000000000006,42619656.75379134
228,0.19000000000000003,0.22000000000000006,71294704.01115814
229,0.20000000000000004,0.22000000000000006,108973019.26331171
230,0.21000000000000005,0.22000000000000006,156688923.37915426
231,0.01,0.23000000000000007,319613308.7176992
232,0.02,0.23000000000000007,286002386.7874087
233,0.03,0.23000000000000007,253125118.4148169
234,0.04,0.23000000000000007,221149586.97782844
235,0.05,0.23000000000000007,190262820.15470505
236,0.060000000000000005,0.23000000000000007,160672706.7238351
237,0.07,0.23000000000000007,132610102.78126594
238,0.08,0.23000000000000007,106331146.09450014
239,0.09,0.23000000000000007,82119799.17325553
240,0.09999999999999999,0.23000000000000007,60290643.68678926
241,0.10999999999999999,0.23000000000000007,41191951.11180082
242,0.11999999999999998,0.23000000000000007,25209056.9756092
243,0.12999999999999998,0.23000000000000007,12768068.789110918
244,0.13999999999999999,0.23000000000000007,4339940.768102583
245,0.15,0.23000000000000007,444951.74763813324
246,0.16,0.23000000000000007,1657626.3326922513
247,0.17,0.23000000000000007,8612143.333154893
248,0.18000000000000002,0.23000000000000007,22008279.939107224
249,0.19000000000000003,0.23000000000000007,42617944.94422217
