,I_t
0,5834.0
1,7416.379579929155
2,9427.90524236289
3,11984.93239723859
4,15235.34551605245
5,19367.090130582128
6,24619.006571874845
7,31294.58204110004
8,39779.40008057965
9,50563.27013065791
10,64268.273981456034
11,81684.28137135544
12,103813.87574100561
13,131929.10566797116
14,167643.04913082707
15,212999.85379666084
16,270587.6950345413
17,343679.95413320966
18,436410.8089333413
19,553992.2373203016
20,702979.9553543271
21,891595.6880385713
22,1130111.8053720975
23,1431300.7940844176
24,1810944.8033802165
25,2288387.4251315454
26,2887087.9005190087
27,3635103.146933645
28,4565370.907293617
29,5715594.192415331
30,7127432.867190732
31,8844601.688372483
32,10909382.324960295
33,13357036.368926235
34,16207751.967952091
35,19456195.030877624
36,23059580.428306747
37,26926424.91479043
38,30909514.827081785
39,34807455.05800687
40,38378528.17884595
41,41367794.352675
42,43543740.28308356
43,44736134.08671512
44,44864658.03289764
45,43950066.07167888
46,42105370.43526351
47,39511075.411702
48,36382667.92616777
49,32939047.872073807
50,29378075.770721626
51,25861795.522447627
52,22510819.362237785
53,19405616.115990125
54,16591976.067274552
55,14088283.376499794
56,11892924.835466895
57,9990867.122668928
58,8358983.414989326
59,6970068.347321708
60,5795675.855133079
61,4807995.531736843
62,3980994.960944327
63,3291031.795188438
64,2717101.8878797
65,2240850.848284259
66,1846441.8818061573
67,1520344.8033493194
68,1251089.7321549316
69,1029013.3446458038
70,846014.5426385467
71,695328.8821102645
72,571326.1579926526
73,469332.40417891485
74,385475.67944385996
75,316553.9571183404
76,259922.9271042067
77,213401.3511913526
78,175191.65004045208
79,143813.55230865642
80,118048.84500598657
81,96895.49290737377
82,79529.62193335703
83,65274.074635940204
84,53572.43919163083
85,43967.624326652556
86,36084.201372162766
87,29613.86244254035
88,24303.452464691574
89,19945.124628688078
90,16368.245962878042
91,13432.744225402283
92,11023.641029515662
93,9046.560751312467
94,7424.041760039146
95,6092.507114306598
96,4999.777147701714
97,4103.027225110162
98,3367.1111431903505
99,2763.184807755834
100,2267.5764747171934
101,1860.8594279087524
102,1527.0908498338654
103,1253.187120661559
104,1028.411105000562
105,843.9513599468409
106,692.5767905331725
107,568.3532291038878
108,466.41083778600296
109,382.75322231486473
110,314.1007784447109
111,257.76213269175804
112,211.52863953104114
113,173.58780037413726
114,142.45221099247038
115,116.90125250944052
116,95.93324046824475
117,78.72615633515389
118,64.60542216537212
119,53.01745521209346
120,43.50796581107021
121,35.70414779769964
122,29.300063295614358
123,24.04464893368403
124,19.73187330910363
125,16.192659845042293
126,13.28825839728294
127,10.904805757883711
128,8.948861811224473
129,7.343746345754467
130,6.026532912595606
131,4.945581880267596
132,4.058515972910419
133,3.3305589261190933
134,2.7331721298912384
135,2.2429358102724137
136,1.8406308880303763
137,1.510485519920818
138,1.2395567842402793
139,1.0172232704954765
140,0.8347686808550075
141,0.685040119038062
142,0.5621676703120617
143,0.46133427910508357
144,0.37858690258868316
145,0.31068153675566434
146,0.2549560394432876
147,0.2092257644947712
148,0.17169791553249525
149,0.14090126169407552
150,0.11562845992809401
151,0.09488872266996407
152,0.07786897529554462
153,0.06390198058080201
154,0.05244018052823414
155,0.043034230062713556
156,0.035315381038061755
157,0.028981025942110092
158,0.02378283455989064
159,0.019517018508167953
160,0.01601634197496639
161,0.013143565455456457
162,0.010786065454333634
163,0.008851419227069807
164,0.0072637814655195495
165,0.005960910880518965
166,0.004891730112486926
167,0.004014323309474173
168,0.0032942928702928112
169,0.0027034109309620026
170,0.0022185127277367708
171,0.0018205884524460213
172,0.001494037997500598
173,0.0012260593738114306
174,0.0010061468253316987
175,0.000825678964451484
176,0.0006775807816246915
177,0.0005560462787519435
178,0.0004563108525192412
179,0.00037446450427499
180,0.00030729855357972374
181,0.00025217984603109945
182,0.0002069475238443129
183,0.00016982831221178324
184,0.00013936700035318446
185,0.00011436939185512211
186,9.38554877421598e-05
187,7.702106688192446e-05
188,6.320615753366269e-05
189,5.186916400800531e-05
190,4.2565634107031826e-05
191,3.493083494952894e-05
192,2.8665454089162635e-05
193,2.3523865356357953e-05
194,1.9304499401363494e-05
195,1.584194142807055e-05
196,1.3000446320441255e-05
197,1.0668616930447663e-05
198,8.75503689666947e-06
199,7.184686783840424e-06
