,beta,gamma,sse
0,0.02,0.01,362519526.11033785
1,0.03,0.01,298640925.20039487
2,0.03,0.02,362520722.177443
3,0.04,0.01,238753347.51691127
4,0.04,0.02,298642097.57743746
5,0.04,0.03,362521961.2263522
6,0.05,0.01,183593907.94734496
7,0.05,0.02,238754478.5835508
8,0.05,0.03,298643311.1757527
9,0.05,0.04,362523243.25712097
10,0.060000000000000005,0.01,133985386.87795107
11,0.060000000000000005,0.02,183594976.55119267
12,0.060000000000000005,0.03,238755648.54672024
13,0.060000000000000005,0.04,298644565.9954318
14,0.060000000000000005,0.05,362524568.26980805
15,0.07,0.01,90845245.7777738
16,0.07,0.02,133986367.75738278
17,0.07,0.03,183596081.0738001
18,0.07,0.04,238756857.40655398
19,0.07,0.05,298645862.03656864
20,0.07,0.060000000000000005,362525936.2644744
21,0.08,0.01,55195564.29312341
22,0.08,0.02,90846108.89689173
23,0.08,0.03,133987380.82373476
24,0.08,0.04,183597221.51535493
25,0.08,0.05,238758105.163191
26,0.08,0.060000000000000005,298647199.29926276
27,0.08,0.07,362527347.2411848
28,0.09,0.01,28173992.328460224
29,0.09,0.02,55196274.075868085
30,0.09,0.03,90846999.60213521
31,0.09,0.04,133988426.0772601
32,0.09,0.05,183598397.87605178
33,0.09,0.060000000000000005,238759391.81677723
34,0.09,0.07,298648577.78361756
35,0.09,0.08,362528801.2000066
36,0.09999999999999999,0.01,11045820.066143937
37,0.09999999999999999,0.02,28174506.77697049
38,0.09999999999999999,0.03,55197005.8444251
39,0.09999999999999999,0.04,90847917.89383611
40,0.09999999999999999,0.05,133989503.51822089
41,0.09999999999999999,0.060000000000000005,183599610.15609297
42,0.09999999999999999,0.07,238760717.367464
43,0.09999999999999999,0.08,298649997.48974025
44,0.09999999999999999,0.09,362530298.1410099
45,0.10999999999999999,0.01,5217279.31574124
46,0.10999999999999999,0.02,11046089.74628435
47,0.10999999999999999,0.03,28175036.46315305
48,0.10999999999999999,0.04,55197759.599222735
49,0.10999999999999999,0.05,90848863.77233845
50,0.10999999999999999,0.060000000000000005,133990613.14688873
51,0.10999999999999999,0.07,183600858.355689
52,0.10999999999999999,0.08,238762081.8154079
53,0.10999999999999999,0.09,298651458.41774285
54,0.10999999999999999,0.09999999999999999,362531838.064269
55,0.11999999999999998,0.01,12250201.081193889
56,0.11999999999999998,0.02,5217246.190219306
57,0.11999999999999998,0.03,11046366.599733202
