,beta,gamma,sse
0,0.01,0.02,240956024.41552466
1,0.01,0.03,162455571.83515802
2,0.02,0.03,240951088.79290143
3,0.01,0.04,101608530.97649515
4,0.02,0.04,162451683.22292197
5,0.03,0.04,240946052.6416294
6,0.01,0.05,56582759.05936128
7,0.02,0.05,101605580.46699435
8,0.03,0.05,162447716.6418309
9,0.04,0.05,240940915.96598953
10,0.01,0.060000000000000005,25716331.487690404
11,0.02,0.060000000000000005,56580647.9489675
12,0.03,0.060000000000000005,101602571.6534951
13,0.04,0.060000000000000005,162443672.0956028
14,0.05,0.060000000000000005,240935678.7703526
15,0.01,0.07,7502123.598140433
16,0.02,0.07,25714970.34183276
17,0.03,0.07,56578495.638332926
18,0.04,0.07,101599504.53921941
19,0.05,0.07,162439549.58803248
20,0.060000000000000005,0.07,240930341.05917585
21,0.01,0.08,573785.0710282673
22,0.02,0.08,7501431.402008992
23,0.03,0.08,25713582.834793396
24,0.04,0.08,56576302.13024086
25,0.05,0.08,101596379.12745321
26,0.060000000000000005,0.08,162435349.1229893
27,0.07,0.08,240924902.83700728
28,0.01,0.09,3692980.6926776227
29,0.02,0.09,573688.4580424496
30,0.03,0.09,7500725.68220868
31,0.04,0.09,25712168.968970913
32,0.05,0.09,56574067.427530736
33,0.060000000000000005,0.09,101593195.42154807
34,0.07,0.09,162431070.70441827
35,0.08,0.09,240919364.1084823
36,0.01,0.09999999999999999,15737782.678781804
37,0.02,0.09999999999999999,3693413.243546
38,0.03,0.09999999999999999,573589.3909663972
39,0.04,0.09999999999999999,7500006.440798601
40,0.05,0.09999999999999999,25710728.74681087
41,0.060000000000000005,0.09999999999999999,56571791.53309673
42,0.07,0.09999999999999999,101589953.42491952
43,0.08,0.09999999999999999,162426714.3363414
44,0.09,0.09999999999999999,240913724.87832558
45,0.01,0.10999999999999999,35692110.23276486
46,0.02,0.10999999999999999,15738684.284650031
47,0.03,0.10999999999999999,3693852.849340273
48,0.04,0.10999999999999999,573487.8715608199
49,0.05,0.10999999999999999,7499273.679877754
50,0.060000000000000005,0.10999999999999999,25709262.17080534
51,0.07,0.10999999999999999,56569474.449889116
52,0.08,0.10999999999999999,101586653.14104882
53,0.09,0.10999999999999999,162422280.02285722
54,0.09999999999999999,0.10999999999999999,240907985.15134972
55,0.01,0.11999999999999998,62636121.518596746
56,0.02,0.11999999999999998,35693426.516553275
57,0.03,0.11999999999999998,15739601.077954851
58,0.04,0.11999999999999998,3694299.511558762
59,0.05,0.11999999999999998,573383.9016199049
60,0.060000000000000005,0.11999999999999998,7498527.4015847845
61,0.07,0.11999999999999998,25707769.243493825
62,0.08,0.11999999999999998,56567116.18091177
63,0.09,0.11999999999999998,101583294.57348116
64,0.09999999999999999,0.11999999999999998,162417767.76813704
65,0.10999999999999999,0.11999999999999998,240902144.9324575
66,0.01,0.12999999999999998,95737471.86227632
67,0.02,0.12999999999999998,62637803.30917726
68,0.03,0.12999999999999998,35694764.907125294
69,0.04,0.12999999999999998,15740533.059963893
70,0.05,0.12999999999999998,3694753.2317276797
71,0.060000000000000005,0.12999999999999998,573277.482971322
72,0.07,0.12999999999999998,7497767.608097967
73,0.08,0.12999999999999998,25706249.967462175
74,0.09,0.12999999999999998,56564716.72922552
75,0.09999999999999999,0.12999999999999998,101579877.72582738
76,0.10999999999999999,0.12999999999999998,162413177.57643223
77,0.11999999999999998,0.12999999999999998,240896204.22663802
78,0.01,0.13999999999999999,134243359.8403276
79,0.02,0.13999999999999999,95739474.71663332
80,0.03,0.13999999999999999,62639513.05765815
81,0.04,0.13999999999999999,35696125.405545704
82,0.05,0.13999999999999999,15741480.231968576
83,0.060000000000000005,0.13999999999999999,3695214.011401766
84,0.07,0.13999999999999999,573168.6174761934
85,0.08,0.13999999999999999,7496994.301635232
86,0.09,0.13999999999999999,25704704.345343456
87,0.09999999999999999,0.13999999999999999,56562276.09794493
88,0.10999999999999999,0.13999999999999999,101576402.60176176
89,0.11999999999999998,0.13999999999999999,162408509.45206657
90,0.12999999999999998,0.13999999999999999,240890163.0389719
91,0.01,0.15,177473290.0398747
92,0.02,0.15,134245643.6093017
93,0.03,0.15,95741510.44035485
94,0.04,0.15,62641250.76492735
95,0.05,0.15,35697508.012899786
96,0.060000000000000005,0.15,15742442.59528323
97,0.07,0.15,3695681.852163348
98,0.08,0.15,573057.3070291318
99,0.09,0.15,7496207.48445454
100,0.09999999999999999,0.15,25703132.379817683
101,0.10999999999999999,0.15,56559794.29024091
102,0.11999999999999998,0.15,101572869.20502517
103,0.12999999999999998,0.15,162403763.39944085
104,0.13999999999999999,0.15,240884021.37462634
105,0.01,0.16,224812487.74913192
106,0.02,0.16,177475818.47349018
107,0.03,0.16,134247964.33349305
108,0.04,0.16,95743579.0341743
109,0.05,0.16,62643016.43188916
110,0.060000000000000005,0.16,35698912.73029201
111,0.07,0.16,15743420.15124634
112,0.08,0.16,3696156.7556232843
113,0.09,0.16,572943.5535582076
114,0.09999999999999999,0.16,7495407.158853037
115,0.10999999999999999,0.16,25701534.073611386
116,0.11999999999999998,0.16,56557271.309338555
117,0.12999999999999998,0.16,101569277.53942236
118,0.13999999999999999,0.16,162398939.42303342
119,0.15,0.16,240877779.23885822
120,0.01,0.17,275705906.7194252
121,0.02,0.17,224815228.13788486
122,0.03,0.17,177478387.22368634
123,0.04,0.17,134250322.0134983
124,0.05,0.17,95745680.49883708
125,0.060000000000000005,0.17,62644810.059463695
126,0.07,0.17,35700339.55884605
127,0.08,0.17,15744412.901219364
128,0.09,0.17,3696638.723420255
129,0.09999999999999999,0.17,572827.3590249674
130,0.10999999999999999,0.17,7494593.327167928
131,0.11999999999999998,0.17,25699909.429498434
132,0.12999999999999998,0.17,56554707.15851943
133,0.13999999999999999,0.17,101565627.60882215
134,0.15,0.17,162394037.52739587
135,0.16,0.17,240871436.6370114
136,0.01,0.18000000000000002,329652776.4844971
137,0.02,0.18000000000000002,275708829.5682374
138,0.03,0.18000000000000002,224818011.56973496
139,0.04,0.18000000000000002,177480996.29094183
140,0.05,0.18000000000000002,134252716.64992577
141,0.060000000000000005,0.18000000000000002,95747814.83510213
142,0.07,0.18000000000000002,62646631.64858754
143,0.08,0.18000000000000002,35701788.49970555
144,0.09,0.18000000000000002,15745420.846587416
145,0.09999999999999999,0.18000000000000002,3697127.757221027
146,0.10999999999999999,0.18000000000000002,572708.7254244084
147,0.11999999999999998,0.18000000000000002,7493765.991775924
148,0.12999999999999998,0.18000000000000002,25698258.45029936
149,0.13999999999999999,0.18000000000000002,56552101.84111879
150,0.15,0.18000000000000002,101561919.41715987
151,0.16,0.18000000000000002,162389057.71715677
152,0.17,0.18000000000000002,240864993.57452053
153,0.01,0.19000000000000003,386201640.57924306
154,0.02,0.19000000000000003,329655855.2163538
155,0.03,0.19000000000000003,275711797.63125694
156,0.04,0.19000000000000003,224820838.04505822
157,0.05,0.19000000000000003,177483645.6757435
158,0.060000000000000005,0.19000000000000003,134255148.24339357
159,0.07,0.19000000000000003,95749982.04374188
160,0.08,0.19000000000000003,62648481.20021247
161,0.09,0.19000000000000003,35703259.55403286
162,0.09999999999999999,0.19000000000000003,15746443.988759026
163,0.10999999999999999,0.19000000000000003,3697623.8587207743
164,0.11999999999999998,0.19000000000000003,572587.6547849933
165,0.12999999999999998,0.19000000000000003,7492925.155093487
166,0.13999999999999999,0.19000000000000003,25696581.138881378
167,0.15,0.19000000000000003,56549455.36052807
168,0.16,0.19000000000000003,101558152.96843362
169,0.17,0.19000000000000003,162383999.99702102
170,0.18000000000000002,0.19000000000000003,240858450.05690783
171,0.01,0.20000000000000004,444945841.4130083
172,0.02,0.20000000000000004,386204851.2657982
