,I_t
0,6731.0
1,6213.492845911209
2,5735.773782357366
3,5294.783736742012
4,4887.698830538299
5,4511.91229661085
6,4165.017786806338
7,3844.7939629235743
8,3549.1902723918547
9,3276.313817572573
10,3024.417234602034
11,2791.8875041579518
12,2577.235622499644
13,2379.0870666406577
14,2196.1729925977575
15,2027.3221103544213
16,1871.4531835103267
17,1727.5681055884447
18,1594.7455086639832
19,1472.1348633881214
20,1358.9510326261145
21,1254.4692438340535
22,1158.0204479799504
23,1068.9870352900484
