,I_t
0,1810.0
1,1828.0867394988707
2,1846.3518511408965
3,1864.7970462898545
4,1883.4240517607375
5,1902.2346099393674
6,1921.230478902511
7,1940.4134325384885
8,1959.785260668264
9,1979.3477691670132
10,1999.1027800861557
11,2019.052131775844
12,2039.1976790078984
13,2059.5412930991793
14,2080.0848620353827
15,2100.830290595253
16,2121.7795004751956
17,2142.934430414284
18,2164.2970363196446
19,2185.8692913922064
20,2207.6531862528072
21,2229.65072906864
22,2251.8639456800206
23,2274.294879727474
