,I_t
0,25230.0
1,23759.314323035243
2,22374.028128293397
3,21069.219728964366
4,19840.24684634362
5,18682.731230773203
6,17592.54407340255
7,16565.792174671355
8,15598.804836065514
9,14688.12144245466
10,13830.479703164243
11,13022.804520847207
12,12262.197458183578
13,11545.926773436438
14,10871.417996917417
15,10236.245021453815
16,9638.121680993481
17,9074.893792525458
18,8544.531637527616
19,8045.122860171912
20,7574.865760519133
21,7132.062961914569
22,6715.115432751179
23,6322.5168436951735
