,I_t
0,13569.0
1,12154.937051481225
2,10888.164234657119
3,9753.354152143711
4,8736.77155287453
5,7826.108512811141
6,7010.336565641189
7,6279.574062595003
8,5624.967210780367
9,5038.5833937541165
10,4513.31551772715
11,4042.796253078006
12,3621.3211548972627
13,3243.7797491919287
14,2905.5937641593373
15,2602.661769530806
16,2331.3095622491937
17,2088.2457044730318
18,1870.521680817186
19,1675.4961965067976
20,1500.8031873391253
21,1344.3231565635645
22,1204.1574934995256
23,1078.6054643643379
