,I_t
0,38560.0
1,47568.33285696646
2,58679.21880908609
3,72382.37250436808
4,89281.03638054099
5,110118.02068740703
6,135807.57082613304
7,167474.28961831096
8,206500.5599323823
9,254584.14673708292
10,313807.8933922681
11,386723.63955935655
12,476452.6343191887
13,586804.7275298896
14,722418.3844570968
15,888922.9143965214
16,1093122.9829841387
17,1343203.1298213769
18,1648946.1371704792
19,2021953.0261505893
20,2475843.362908162
21,3026401.4991754033
22,3691616.4758307487
23,4491540.159596808
