,beta,gamma,sse
0,0.01,0.02,4895679.710558757
1,0.01,0.03,912406.5422276472
2,0.02,0.03,4895383.125727656
3,0.01,0.04,104466.9987294728
4,0.02,0.04,912281.7610254736
5,0.03,0.04,4895082.33477633
6,0.01,0.05,2306195.8688130123
7,0.02,0.05,104505.04836018727
8,0.03,0.05,912155.197604421
9,0.04,0.05,4894777.338110557
10,0.01,0.060000000000000005,7359052.855752285
11,0.02,0.060000000000000005,2306388.1645463225
12,0.03,0.060000000000000005,104543.57990083648
13,0.04,0.060000000000000005,912026.8523419367
14,0.05,0.060000000000000005,4894468.136142031
15,0.01,0.07,15111332.075349243
16,0.02,0.07,7359391.184985723
17,0.03,0.07,2306583.05514674
18,0.04,0.07,104582.59370208875
19,0.05,0.07,911896.7256208804
20,0.060000000000000005,0.07,4894154.729288309
21,0.01,0.08,25417882.99940735
22,0.02,0.08,15111808.582304083
23,0.03,0.08,7359734.079037577
24,0.04,0.08,2306780.5409395345
25,0.05,0.08,104622.09011962451
26,0.060000000000000005,0.08,911764.8178295551
27,0.07,0.08,4893837.117972688
28,0.01,0.09,38139842.405255884
29,0.02,0.09,25418490.17043353
30,0.03,0.09,15112291.48877525
31,0.04,0.09,7360081.538209362
32,0.05,0.09,2306980.622254802
33,0.060000000000000005,0.09,104662.06951413263
34,0.07,0.09,911631.1293616322
35,0.08,0.09,4893515.302624418
36,0.01,0.09999999999999999,53144376.90827593
37,0.02,0.09999999999999999,38140573.054723755
38,0.03,0.09999999999999999,25419105.447780114
39,0.04,0.09999999999999999,15112780.795041844
40,0.05,0.09999999999999999,7360433.562806864
41,0.060000000000000005,0.09999999999999999,2307183.2994272164
42,0.07,0.09999999999999999,104702.53225133079
43,0.08,0.09999999999999999,911495.6606162525
44,0.09,0.09999999999999999,4893189.283678501
45,0.01,0.10999999999999999,70304435.67015426
46,0.02,0.10999999999999999,53145224.165029004
47,0.03,0.10999999999999999,38141313.39640698
48,0.04,0.10999999999999999,25419728.831704803
49,0.05,0.10999999999999999,15113276.501386764
50,0.060000000000000005,0.10999999999999999,7360790.153140252
51,0.07,0.10999999999999999,2307388.5727960165
52,0.08,0.10999999999999999,104743.47870194478
53,0.09,0.10999999999999999,911358.4119979552
54,0.09999999999999999,0.10999999999999999,4892859.061575919
55,0.01,0.11999999999999998,89498512.89081141
56,0.02,0.11999999999999998,70305392.96450466
57,0.03,0.11999999999999998,53146082.585613996
58,0.04,0.11999999999999998,38142063.43054353
59,0.05,0.11999999999999998,25420360.32246887
60,0.060000000000000005,0.11999999999999998,15113778.608097076
61,0.07,0.11999999999999998,7361151.309523843
62,0.08,0.11999999999999998,2307596.4427051917
63,0.09,0.11999999999999998,104784.90924171577
64,0.09999999999999999,0.11999999999999998,911219.3839166788
65,0.10999999999999999,0.11999999999999998,4892524.636763309
66,0.01,0.12999999999999998,110610419.7066113
67,0.02,0.12999999999999998,89499573.9420532
68,0.03,0.12999999999999998,70306362.78631616
69,0.04,0.12999999999999998,53146952.17024948
70,0.05,0.12999999999999998,38142823.157374285
71,0.060000000000000005,0.12999999999999998,25420999.920337677
72,0.07,0.12999999999999998,15114287.11546371
73,0.08,0.12999999999999998,7361517.032276316
74,0.09,0.12999999999999998,2307806.909503304
75,0.09999999999999999,0.12999999999999998,104826.82425139574
76,0.10999999999999999,0.12999999999999998,911078.5767878043
77,0.11999999999999998,0.12999999999999998,4892186.009693357
78,0.01,0.13999999999999999,133529065.13160129
79,0.02,0.13999999999999999,110611578.51103528
80,0.03,0.13999999999999999,89500648.78237005
81,0.04,0.13999999999999999,70307345.13579042
82,0.05,0.13999999999999999,53147832.919157684
83,0.060000000000000005,0.13999999999999999,38143592.57714388
84,0.07,0.13999999999999999,25421647.625579678
