,I_t
0,1865.0
1,1827.9686444950898
2,1791.6703809261849
3,1756.0907833060633
4,1721.2157061093637
5,1687.0312789550662
6,1653.5239013844134
7,1620.6802377327767
8,1588.4872120939892
9,1556.9320033756749
10,1526.0020404441277
11,1495.6849973573005
12,1465.9687886844833
13,1436.841564911267
14,1408.291707928399
15,1380.3078266031612
16,1352.8787524319046
17,1325.9935352724065
18,1299.6414391547187
19,1273.811938169197
20,1248.49471243042
21,1223.6796441157187
22,1199.3568135770574
23,1175.5164955250182
