,beta,gamma,sse
0,0.02,0.01,8911771.586128332
1,0.03,0.01,5345260.043999394
2,0.03,0.02,8917005.374579156
3,0.04,0.01,2663276.1210450074
4,0.04,0.02,5349389.18850134
5,0.04,0.03,8922284.72115488
6,0.05,0.01,893233.107589527
7,0.05,0.02,2666245.2942389403
8,0.05,0.03,5353554.482825299
9,0.05,0.04,8927609.662122224
10,0.060000000000000005,0.01,63191.86751880576
11,0.060000000000000005,0.02,894985.0084855993
12,0.060000000000000005,0.03,2669240.8480321323
13,0.060000000000000005,0.04,5357755.965083335
14,0.060000000000000005,0.05,8932980.23405102
15,0.07,0.01,201874.6559156629
16,0.07,0.02,63667.15952458939
17,0.07,0.03,896753.1493477022
18,0.07,0.04,2672262.8224554304
19,0.07,0.05,5361993.673703264
20,0.07,0.060000000000000005,8938396.473814016
21,0.08,0.01,1338679.1635506838
22,0.08,0.02,201011.9031307918
23,0.08,0.03,64148.16868828981
24,0.08,0.04,898537.5722012109
25,0.08,0.05,2675311.2578685093
26,0.08,0.060000000000000005,5366267.647428692
27,0.08,0.07,8943858.418587135
28,0.09,0.01,3503692.7912827795
29,0.09,0.02,1336414.7652850684
30,0.09,0.03,200143.9514773471
31,0.09,0.04,64634.93910872076
32,0.09,0.05,900338.3194141488
33,0.09,0.060000000000000005,2678386.194959957
34,0.09,0.07,5370577.925318972
35,0.09,0.08,8949366.10584893
36,0.09999999999999999,0.01,6727707.157451509
37,0.09999999999999999,0.02,3499960.914753812
38,0.09999999999999999,0.03,1334133.8475765146
39,0.09999999999999999,0.04,199270.84720899403
40,0.09999999999999999,0.05,65127.51524128872
41,0.09999999999999999,0.060000000000000005,902155.433696968
42,0.09999999999999999,0.07,2681487.674747168
43,0.09999999999999999,0.08,5374924.5467487695
44,0.09999999999999999,0.09,8954919.573380668
45,0.10999999999999999,0.01,11042232.841368703
46,0.10999999999999999,0.02,6722439.668615038
47,0.10999999999999999,0.03,3496200.782038054
48,0.10999999999999999,0.04,1331836.458917962
49,0.10999999999999999,0.05,198392.63695053876
50,0.10999999999999999,0.060000000000000005,65625.94189791629
51,0.10999999999999999,0.07,903988.9581024663
52,0.10999999999999999,0.08,2684615.7385761393
53,0.10999999999999999,0.09,5379307.551408361
54,0.10999999999999999,0.09999999999999999,8960518.859266566
55,0.11999999999999998,0.01,16479514.36604481
56,0.11999999999999998,0.02,11035359.233837409
57,0.11999999999999998,0.03,6717131.758757879
58,0.11999999999999998,0.04,3492412.443955003
59,0.11999999999999998,0.05,1329522.6481884315
60,0.11999999999999998,0.060000000000000005,197509.36769779766
61,0.11999999999999998,0.07,66130.26424691342
62,0.11999999999999998,0.08,905838.9360257317
63,0.11999999999999998,0.09,2687770.428121555
64,0.11999999999999998,0.09999999999999999,5383726.979303324
65,0.11999999999999998,0.10999999999999999,8966164.001892913
66,0.12999999999999998,0.01,23072545.423309986
67,0.12999999999999998,0.02,16470961.688046297
68,0.12999999999999998,0.03,11028432.600135421
69,0.12999999999999998,0.04,6711783.481116509
70,0.12999999999999998,0.05,3488595.9517256864
71,0.12999999999999998,0.060000000000000005,1327192.4646529702
72,0.12999999999999998,0.07,196621.0868174408
73,0.12999999999999998,0.08,66640.52781287742
74,0.12999999999999998,0.09,907705.4112039205
75,0.12999999999999998,0.09999999999999999,2690951.7853864394
76,0.12999999999999998,0.10999999999999999,5388182.870754503
77,0.12999999999999998,0.11999999999999998,8971855.039948925
78,0.13999999999999999,0.01,30855084.344518974
79,0.13999999999999999,0.02,23062238.20263692
80,0.13999999999999999,0.03,16462342.92587278
81,0.13999999999999999,0.04,11021452.996009795
82,0.13999999999999999,0.05,6706394.88934488
83,0.13999999999999999,0.060000000000000005,3484751.356972755
84,0.13999999999999999,0.07,1324845.9579623956
85,0.13999999999999999,0.08,195727.8420469504
86,0.13999999999999999,0.09,67156.77847653985
