,beta,gamma,sse
0,0.01,0.02,572190.473853121
1,0.01,0.03,197191.82176758893
2,0.02,0.03,570604.4289947096
3,0.01,0.04,18171.3428813884
4,0.02,0.04,196270.446915386
5,0.03,0.04,569018.1719690531
6,0.01,0.05,29372.26648285943
7,0.02,0.05,17895.16578127954
8,0.03,0.05,195349.8344103059
9,0.04,0.05,567431.7132014976
10,0.01,0.060000000000000005,225170.44756765352
11,0.02,0.060000000000000005,29722.263400717762
12,0.03,0.060000000000000005,17620.690052969956
13,0.04,0.060000000000000005,194429.99430034406
14,0.05,0.060000000000000005,565845.0631313351
15,0.01,0.07,600071.521990607
16,0.02,0.07,226128.0336845104
17,0.03,0.07,30074.866234995396
18,0.04,0.07,17347.92537784088
19,0.05,0.07,193510.93664686749
20,0.060000000000000005,0.07,564258.232211759
21,0.01,0.08,1148708.1091341933
22,0.02,0.08,601618.5419582925
23,0.03,0.08,227089.09676562724
24,0.04,0.08,30430.084310911247
25,0.05,0.08,17076.881450089855
26,0.060000000000000005,0.08,192592.6715245817
27,0.07,0.08,562671.2309098709
28,0.01,0.09,1865837.0614212842
29,0.02,0.09,1150826.8277891518
30,0.03,0.09,603169.8773988272
31,0.04,0.09,228053.64579024795
32,0.05,0.09,30787.92696597486
33,0.060000000000000005,0.09,16807.56797671789
34,0.07,0.09,191675.2090215463
35,0.08,0.09,561084.069706675
36,0.01,0.09999999999999999,2746336.7600072855
37,0.02,0.09999999999999999,1868510.154654359
38,0.03,0.09999999999999999,1152950.6688186706
39,0.04,0.09999999999999999,604725.5369553994
40,0.05,0.09999999999999999,229021.68974939612
41,0.060000000000000005,0.09999999999999999,31148.403549972874
42,0.07,0.09999999999999999,16539.99467752323
43,0.08,0.09999999999999999,190758.559239142
44,0.09,0.09999999999999999,559496.7590970399
45,0.01,0.10999999999999999,3785204.4559932407
46,0.02,0.10999999999999999,2749547.305787158
47,0.03,0.10999999999999999,1871189.1464646065
48,0.04,0.10999999999999999,1155079.6405395363
49,0.05,0.10999999999999999,606285.5292824825
50,0.060000000000000005,0.10999999999999999,229993.23764586233
51,0.07,0.10999999999999999,31511.523424964373
52,0.08,0.10999999999999999,16274.171285089387
53,0.09,0.10999999999999999,189842.73229207002
54,0.09999999999999999,0.10999999999999999,557909.3095897159
55,0.01,0.11999999999999998,4977553.656509248
56,0.02,0.11999999999999998,3788935.925541511
