,I_t
0,55300.0
1,52945.81030115459
2,50651.9686903518
3,48421.07102802007
4,46255.1839313944
5,44155.882518300365
6,42124.2886931644
7,40161.109405332725
8,38266.67439414136
9,36440.973015558724
10,34683.68982039345
11,32994.238623182675
12,31371.794863442567
13,29815.326116741493
14,28323.620662046837
15,26895.31405417325
16,25528.9136862362
17,24222.821357197732
18,22975.353884354397
19,21784.761820469623
20,20649.246350717905
21,19566.97445620676
22,18536.092439077736
23,17554.73790953766
24,16621.050338079418
25,15733.180277024945
26,14889.297354729162
27,14087.597143649637
28,13326.307000301644
29,12603.690971132566
30,11918.053853779504
31,11267.744498202792
32,10651.15842696993
33,10066.739848626617
34,9512.983132738154
35,8988.433809898808
36,8491.689154854063
37,8021.39840591123
38,7576.262669064338
39,7155.034550755562
40,6756.517558954306
41,6379.5653082656
42,6023.080561084706
43,5686.014133392936
44,5367.363690634994
45,5066.17245622211
46,4781.527852557069
47,4512.560092064772
48,4258.440733521886
49,4018.381216997681
50,3791.631388931244
51,3577.478027263871
52,3375.2433751058866
53,3184.283690131006
54,3003.987815745895
55,2833.775779065573
56,2673.097419825257
57,2521.4310535653344
58,2378.282171728271
59,2243.182180695092
60,2115.687181255882
61,1995.376789545569
62,1881.8530000758053
63,1774.739091149261
64,1673.6785726480257
65,1578.3341759375337
66,1488.3868854164064
67,1403.535011066307
68,1323.4933012102224
69,1247.9920945688013
70,1176.7765106091801
71,1109.6056771061246
72,1046.2519937786533
73,986.5004308241924
74,930.1478611446456
75,877.0024250426325
76,826.8829261599155
77,779.6182574322011
78,735.0468558437561
79,693.0161847805001
80,653.3822428003705
81,616.0090976639594
82,580.7684444958835
83,547.539186977412
84,516.2070405029564
85,486.664156266591
86,458.8087652794074
87,432.54484135381927
88,407.7817821266036
89,384.4341072282177
90,362.42117274153384
91,341.66690112839154
92,322.0995258371158
93,303.6513498382549
94,286.2585173691477
95,269.86079820044336
96,254.4013837693062
97,239.82669455468698
98,226.0861980996924
99,213.1322371147146
100,200.91986712257193
101,189.40670313345936
102,178.55277486300855
103,168.3203900312252
104,158.67400530351344
105,149.58010445743506
106,141.00708338030174
107,132.92514152318756
108,125.3061794565017
109,118.12370219090374
110,111.3527279451079
111,104.9697020590335
112,98.95241576685196
113,93.27992955978182
114,87.93250088302634
115,82.89151592506195
116,78.13942527060159
117,73.65968320100305
118,69.43669043769926
119,65.45574013542323
120,61.70296694261182
121,58.16529895642866
122,54.83041240937102
123,51.68668893344622
124,48.72317525644169
125,45.92954519289602
126,43.29606380002502
127,40.81355357609235
128,38.47336258555674
129,36.26733440179847
130,34.187779764345684
131,32.22744985330383
132,30.379511089157244
133,28.637521371276588
134,26.995407673345905
135,25.447444918533026
136,23.9882360615818
137,22.612693309117432
138,21.316020413340144
139,20.093695977950098
140,18.941457718609094
141,17.855287623513846
142,16.83139796274162
143,15.866218097942062
144,14.956382046698403
145,14.098716758476087
146,13.290231061525606
147,12.528105242417105
148,11.809681222064711
149,11.13245329415587
150,10.494059393841964
151,9.892272866377763
152,9.324994707124773
153,8.790246245963301
154,8.286162250695307
155,7.810984425470258
156,7.363055281633914
157,6.940812359690128
158,6.542782782282447
159,6.167578119249933
160,5.813889546893872
161,5.4804832846127685
162,5.166196293025587
163,4.86993221861093
164,4.590657570745874
165,4.327398117835401
166,4.079235489984509
167,3.8453039763829002
168,3.6247875062488966
169,3.4169168028174224
170,3.220966700458639
171,3.03625361558116
172,2.862133162508761
173,2.6979979060238626
174,2.543275242746665
175,2.3974254039671767
176,2.259939572970132
177,2.13033811029138
178,2.0081688807201004
179,1.8930056762154948
180,1.7844467292406203
181,1.6821133113309419
182,1.5856484120120655
183,1.4947154934610185
184,1.4089973165693102
185,1.3281948343147894
186,1.2520261485838329
187,1.1802255268065096
188,1.1125424749757995
189,1.048740863818457
190,0.9885981050703523
191,0.9319043749837705
192,0.8784618823587815
193,0.8280841785460014
194,0.7805955070143813
195,0.7358301902155915
196,0.6936320516065982
197,0.6538538708146118
198,0.6163568700441379
199,0.5810102299348017
