,I_t
0,7985.0
1,8822.941003160138
2,9747.420562817399
3,10767.066853932163
4,11891.299701125936
5,13130.387797138068
6,14495.506416508815
7,15998.794580831287
8,17653.410327254496
9,19473.582368153613
10,21474.655999832943
11,23673.130615077465
12,26086.685592735364
13,28734.19067376784
14,31635.69618711979
15,34812.39766506566
16,38286.56849812033
17,42081.453345545386
18,46221.11407301584
19,50730.219084523305
20,55633.76612168099
21,60956.728015099536
22,66723.6106121682
23,72957.91232672024
24,79681.47564326807
25,86913.7226750479
26,94670.76975560038
27,102964.42027981316
28,111801.04082852462
29,121180.333188707
30,131094.02430406777
31,141524.50739652064
32,152443.48021575843
33,163810.6400573866
34,175572.5089671796
35,187661.4751881697
36,199995.14682704842
37,212476.11905571254
38,224992.2549285729
39,237417.57019048164
40,249613.792785117
41,261432.63742747417
42,272718.79497996275
43,283313.5872822626
44,293059.18387893925
45,301803.22253988293
46,309403.6263822651
47,315733.3729417388
48,320684.950344268
49,324174.23696439806
50,326143.56548010826
51,326563.7790712765
52,325435.1527639646
53,322787.13021014375
54,318676.90750994
55,313186.972579465
56,306421.77337183256
57,298503.7351408703
58,289568.8725972122
59,279762.2467073934
60,269233.5000239621
61,258132.67274915398
62,246606.45931898692
63,234795.01756418787
64,222829.39447566052
65,210829.5883723723
66,198903.22973367648
67,187144.83375074528
68,175635.5572644528
69,164443.38076782247
70,153623.63150333724
71,143219.76496301053
72,133264.32776400063
73,123780.03344484839
74,114780.89290487314
75,106273.35193103415
76,98257.39872251466
77,90727.61398153471
78,83674.14465394468
79,77083.58961461387
80,70939.7914721931
81,65224.5332792726
82,59918.142399039454
83,55000.00625083357
84,50449.00629760898
85,46243.87760776098
86,42363.50176906694
87,38787.140983088844
88,35494.62093423293
89,32466.469599143584
90,29684.018611337284
91,27129.473178800163
92,24785.95591056274
93,22637.529272313157
94,20669.200781825686
95,18866.914485896898
96,17217.5317394728
97,15708.8038383772
98,14329.338640132666
99,13068.56294131077
100,11916.682061783786
101,10864.637812468396
102,9904.065789518969
103,9027.252740175401
104,8227.094579399065
105,7497.055498042945
106,6831.12848888712
107,6223.797523045393
108,5670.001532977002
109,5165.100296926888
110,4704.842270707612
111,4285.334374272366
112,3903.013710740625
113,3554.6211729088586
114,3237.1768755172616
115,2947.957339557395
116,2684.474346775851
117,2444.455377486452
118,2225.825542207695
119,2026.6909169628007
120,1845.3231928799146
121,1680.1455526517316
122,1529.719689165552
123,1392.7338849605285
124,1267.9920749190546
125,1154.40381860272
126,1050.9751127807301
127,956.7999788769627
128,871.0527642092411
129,792.9810999566591
130,721.8994627278436
131,657.1832903862124
132,598.2636063980498
133,544.6221103933169
134,495.7866958609884
135,451.3273589382504
136,410.85246509742797
137,374.00534318991896
138,340.4611787784922
139,309.9241809852087
140,282.12499921002353
141,256.8183680434694
142,233.78096051468253
143,212.8094314924607
144,193.7186346010476
145,176.3399974327367
146,160.5200411447238
147,146.11903172612708
148,133.00975132056917
149,121.07637899760742
150,110.21347128961646
151,100.32503365605908
152,91.32367481059435
153,83.12983655391992
154,75.67109240198586
155,68.88150889022397
156,62.70106397431516
157,57.075117441032994
158,51.95392869278551
159,47.29221768026108
160,43.04876513240575
161,39.186048574893576
162,35.66991094012111
163,32.4692588561533
164,29.555787961350184
165,26.903732827788517
166,24.489639292058264
167,22.292157188386263
168,20.291851657991113
169,18.471031371633135
170,16.81359215088851
171,15.304874609024754
172,13.931534555651961
173,12.681425021635716
174,11.543488863055996
175,10.507660996168745
176,9.564779400183133
177,8.706504101946178
178,7.925243427001234
179,7.214086865571888
180,6.566743960378412
181,5.977488676330309
182,5.441108760521229
183,4.952859645005648
184,4.508422484946633
185,4.10386596124295
186,3.7356115099925176
187,3.4004016714200107
188,3.0952712784556264
189,2.817521230242044
190,2.5646946186884496
191,2.3345549969852795
192,2.1250665979243215
193,1.9343763271028882
194,1.7607973717798462
195,1.602794280433799
196,1.4589693810756152
197,1.3280504182035588
198,1.2088792990639359
199,1.1004018496885868
