,beta,gamma,sse
0,0.02,0.01,41957556.83966955
1,0.03,0.01,35572356.100863546
2,0.03,0.02,41957670.846928224
3,0.04,0.01,29615124.390430786
4,0.04,0.02,35572464.74653466
5,0.04,0.03,41957786.7438661
6,0.05,0.01,24113582.414514687
7,0.05,0.02,29615226.965923816
8,0.05,0.03,35572575.17411615
9,0.05,0.04,41957904.53048803
10,0.060000000000000005,0.01,19096752.62563021
11,0.060000000000000005,0.02,24113678.157626417
12,0.060000000000000005,0.03,29615331.20581815
13,0.060000000000000005,0.04,35572687.38361372
14,0.060000000000000005,0.05,41958024.206799045
15,0.07,0.01,14595015.36636188
16,0.07,0.02,19096840.71705505
17,0.07,0.03,24113775.437298354
18,0.07,0.04,29615437.11012005
19,0.07,0.05,35572801.37503283
20,0.07,0.060000000000000005,41958145.77280423
21,0.08,0.01,10640167.32011035
22,0.08,0.02,14595094.925990248
23,0.08,0.03,19096930.206243165
24,0.08,0.04,24113874.253537543
25,0.08,0.05,29615544.678835776
26,0.08,0.060000000000000005,35572917.148379244
27,0.08,0.07,41958269.22850869
28,0.09,0.01,7265482.36036621
29,0.09,0.02,10640237.403102554
30,0.09,0.03,14595175.732971068
31,0.09,0.04,19097021.093202308
32,0.09,0.05,24113974.606350966
33,0.09,0.060000000000000005,29615653.911971733
34,0.09,0.07,35573034.70365884
35,0.09,0.08,41958394.57391772
36,0.09999999999999999,0.01,4505774.893480959
37,0.09999999999999999,0.02,7265541.952988678
38,0.09999999999999999,0.03,10640308.570728619
39,0.09999999999999999,0.04,14595257.787312955
40,0.09999999999999999,0.05,19097113.377940375
41,0.09999999999999999,0.060000000000000005,24114076.495745834
42,0.09999999999999999,0.07,29615764.809534583
43,0.09999999999999999,0.08,35573154.04087748
44,0.09999999999999999,0.09,41958521.80903657
45,0.10999999999999999,0.01,2397465.793522009
46,0.10999999999999999,0.02,4505822.908691063
47,0.10999999999999999,0.03,7265602.454487173
48,0.10999999999999999,0.04,10640380.822998196
49,0.10999999999999999,0.05,14595341.089024683
50,0.10999999999999999,0.060000000000000005,19097207.060465384
51,0.10999999999999999,0.07,24114179.921729535
52,0.10999999999999999,0.08,29615877.371530898
53,0.10999999999999999,0.09,35573275.16004118
