,I_t
0,520.0
1,525.1962284694066
2,530.4441865211209
3,535.7443852104778
4,541.0973405626904
5,546.5035736195836
6,551.963610486735
7,557.4779823810258
8,563.0472256786037
9,568.6718819632616
10,574.352498075235
11,580.0896261604196
12,585.8838237200148
13,591.7356536605922
14,597.6456843445956
15,603.6144896412725
16,609.6426489780429
17,615.7307473923045
18,621.8793755836814
19,628.0891299667162
20,634.3606127240091
21,640.694431859808
22,647.0912012540506
23,653.5515407168634
24,660.076076043519
25,666.6654390698546
26,673.3202677281564
27,680.0412061035095
28,686.8289044906196
29,693.684019451108
30,700.607213871281
31,707.5991570203796
32,714.6605246093101
33,721.7919988498593
34,728.9942685143976
35,736.2680289960713
36,743.6139823694876
37,751.0328374518971
38,758.5253098648723
39,766.0921220964889
40,773.7340035640101
41,781.4516906770785
42,789.2459269014163
43,797.1174628230378
44,805.067056212977
45,813.0954720925317
46,821.2034827990283
47,829.3918680521082
48,837.6614150205402
49,846.0129183895601
50,854.4471804287404
51,862.9650110603918
52,871.567227928502
53,880.2546564682095
54,889.0281299758186
55,897.8884896793568
56,906.8365848096761
57,915.8732726721016
58,924.9994187186296
59,934.2158966206762
60,943.5235883423799
61,952.9233842144604
62,962.4161830086341
63,972.0028920125906
64,981.68442710553
65,991.4617128342645
66,1001.3356824898862
67,1011.3072781850012
68,1021.377450931534
69,1031.5471607191027
70,1041.8173765939678
71,1052.1890767385528
72,1062.6632485515447
73,1073.2408887285678
74,1083.9230033434405
75,1094.7106079300092
76,1105.6047275645642
77,1116.606396948841
78,1127.7166604936015
79,1138.9365724028044
80,1150.2671967583592
81,1161.709607605466
82,1173.264889038547
83,1184.9341352877623
84,1196.718450806118
85,1208.6189503571627
86,1220.6367591032745
87,1232.7730126945373
88,1245.0288573582113
89,1257.4054499887911
90,1269.9039582386567
91,1282.5255606093156
92,1295.2714465432348
93,1308.142816516265
94,1321.1408821306538
95,1334.26686620865
96,1347.5220028866954
97,1360.907537710207
98,1374.424727728945
99,1388.074841592969
100,1401.8591596491783
101,1415.7789740384364
102,1429.8355887932796
103,1444.030319936205
104,1458.3644955785385
105,1472.8394560198815
106,1487.4565538481306
107,1502.2171540400723
108,1517.122634062548
109,1532.1743839741875
110,1547.3738065277078
111,1562.722317272774
112,1578.221344659422
113,1593.8723301420346
114,1609.6767282838716
115,1625.636006862149
116,1641.7516469736645
117,1658.025143140962
118,1674.458003419034
119,1691.0517495025574
120,1707.8079168336549
121,1724.7280547101795
122,1741.813726394518
123,1759.0665092229042
124,1776.4879947152403
125,1794.0797886854175
126,1811.84351135213
127,1829.7807974501789
128,1847.8932963422542
129,1866.1826721311943
130,1884.6506037727086
131,1903.298785188561
132,1922.1289253802042
133,1941.1427485428583
134,1960.3419941800219
135,1979.72841721841
136,1999.3037881233097
137,2019.0698930143415
138,2039.0285337816188
139,2059.1815282022962
140,2079.5307100574937
141,2100.0779292495863
142,2120.825051919849
143,2141.773960566449
144,2162.9265541627647
145,2184.284748276026
146,2205.850475186263
147,2227.625684005545
148,2249.6123407975033
149,2271.8124286971183
150,2294.2279480307598
151,2316.860916436461
152,2339.7133689844213
153,2362.787358297708
154,2386.0849546731533
155,2409.6082462024233
156,2433.3593388932445
157,2457.340356790768
158,2481.553442099055
159,2506.0007553026658
160,2530.6844752883326
161,2555.6067994666937
162,2580.769943894073
163,2606.1761433942843
164,2631.8276516804326
165,2657.7267414767
166,2683.8757046400874
167,2710.2768522820897
168,2736.9325148902853
169,2763.845042449807
170,2791.0168045646806
171,2818.450190578997
172,2846.147609697894
173,2874.1114911083246
174,2902.3442840995804
175,2930.84845818354
176,2959.626503214624
177,2988.680929509411
178,3018.0142679659007
179,3047.6290701823823
180,3077.5279085758784
181,3107.7133765001363
182,3138.1880883631306
183,3168.95467974404
184,3200.0158075096697
185,3231.3741499302782
186,3263.032406794777
187,3294.993299525261
188,3327.259571290836
189,3359.833987120698
190,3392.719334016436
191,3425.9184210635003
192,3459.4340795418148
193,3493.2691630354702
194,3527.426547541472
195,3561.9091315774876
196,3596.7198362885542
197,3631.8616055526913
198,3667.3374060853835
199,3703.150227542874
