,date,beta,gamma,r0,dif,r0_p,dif_p
0,2020-02-02,0.01,0.02,0.5,-0.01,0.5,-0.01
1,2020-02-03,0.01,0.02,0.5,-0.01,0.5,-0.01
2,2020-02-04,0.01,0.02,0.5,-0.01,0.5,-0.01
3,2020-02-05,0.01,0.02,0.5,-0.01,0.5,-0.01
4,2020-02-06,0.01,0.02,0.5,-0.01,0.5,-0.01
5,2020-02-07,0.01,0.02,0.5,-0.01,0.5,-0.01
6,2020-02-08,0.9900000000000008,0.5800000000000003,1.7068965517241383,0.4100000000000005,0.5,-0.01
7,2020-02-09,0.01,0.02,0.5,-0.01,3.131430186546072,0.9057377049180337
8,2020-02-10,0.01,0.02,0.5,-0.01,-0.8914807302231242,-0.49423529411764777
9,2020-02-11,0.01,0.02,0.5,-0.01,0.5,-0.01
10,2020-02-12,0.01,0.02,0.5,-0.01,0.5,-0.01
11,2020-02-13,0.01,0.02,0.5,-0.01,0.5,-0.01
12,2020-02-14,0.01,0.02,0.5,-0.01,0.5,-0.01
13,2020-02-15,0.01,0.02,0.5,-0.01,0.5,-0.01
14,2020-02-16,0.01,0.02,0.5,-0.01,0.5,-0.01
15,2020-02-17,0.01,0.02,0.5,-0.01,0.5,-0.01
16,2020-02-18,0.01,0.02,0.5,-0.01,0.5,-0.01
17,2020-02-19,0.01,0.02,0.5,-0.01,0.5,-0.01
18,2020-02-20,0.01,0.02,0.5,-0.01,0.5,-0.01
19,2020-02-21,0.01,0.02,0.5,-0.01,0.5,-0.01
20,2020-02-22,0.9900000000000008,0.01,99.00000000000007,0.9800000000000008,0.5,-0.01
21,2020-02-23,0.9900000000000008,0.01,99.00000000000007,0.9800000000000008,202.5479632063076,2.0207358738501995
22,2020-02-24,0.9900000000000008,0.05,19.800000000000015,0.9400000000000007,99.00000000000007,0.9800000000000008
23,2020-02-25,0.9900000000000008,0.6000000000000003,1.6500000000000004,0.39000000000000046,-63.08172972972966,0.8981405405405413
24,2020-02-26,0.3500000000000001,0.01,35.00000000000001,0.3400000000000001,-17.30626850937807,-0.18443237907206278
25,2020-02-27,0.3500000000000001,0.01,35.00000000000001,0.3400000000000001,69.76850678733035,0.28787330316742044
26,2020-02-28,0.3100000000000001,0.01,31.00000000000001,0.3000000000000001,35.00000000000001,0.3400000000000001
27,2020-02-29,0.9900000000000008,0.6600000000000004,1.5000000000000004,0.3300000000000004,26.843197540353586,0.2584319754035358
28,2020-03-01,0.9900000000000008,0.7400000000000004,1.3378378378378382,0.25000000000000033,-29.112811387900308,0.36113167259786555
29,2020-03-02,0.4100000000000002,0.01,41.00000000000002,0.4000000000000002,1.1697808184919882,0.16709187045604756
30,2020-03-03,0.16,0.01,16.0,0.15,82.05338877338886,0.5552615384615383
31,2020-03-04,0.9900000000000008,0.7800000000000005,1.2692307692307694,0.2100000000000003,-9.847214244686995,-0.10847214244687065
