,I_t
0,5277.0
1,5831.983885718628
2,6445.33529042137
3,7123.192639762673
4,7872.33991260769
5,8700.274527704098
6,9615.282368566224
7,10626.520696974056
8,11744.109784337243
9,12979.234177298089
10,14344.254610214599
11,15852.831683532077
12,17520.062544576598
13,19362.631937152735
14,21398.979129789426
15,23649.48239097382
16,26136.6628548125
17,28885.4098139946
18,31923.229690612432
19,35280.52117143032
20,38990.87925490564
21,43091.431245221065
22,47623.20804660949
23,52631.554462456705
24,58166.58259148337
25,64283.67284151567
26,71044.02755411368
27,78515.28275521718
28,86772.18412302667
29,95897.33390010039
30,105982.01617820107
31,117127.10875845116
32,129444.09064318356
33,143056.15515754712
34,158099.43973724777
35,174724.38456341616
36,193097.23348702517
37,213401.69207503827
38,235840.75914108878
39,260638.7498086186
40,288043.5300088653
41,318328.98435594805
42,351797.7415839427
43,388784.18419499474
44,429657.771673333
45,474826.7095890934
46,524742.0001711235
47,579901.9134938183
48,640856.9223252212
49,708215.1479490246
50,782648.3689295634
51,864898.6498650089
52,955785.6526985316
53,1056214.6991588152
54,1167185.6594074722
55,1289802.7490072462
56,1425285.3239137228
57,1574979.7713522029
58,1740372.6031812069
59,1923104.8676662575
60,2124988.0054812366
61,2348021.2861924605
62,2594410.972414383
63,2866591.3701802106
64,3167247.935736285
65,3499342.62079361
66,3866141.650047663
67,4271245.936237005
68,4718624.348799154
69,5212650.061846627
70,5758140.215154058
71,6360399.127400642
72,7025265.303157403
73,7759162.4729445465
74,8569154.89776168
75,9463007.15417437
76,10449248.59134717
77,11537242.614978129
78,12737260.90209906
79,14060562.581842508
80,15519478.326666117
81,17127499.181686655
82,18899369.811586186
83,20851185.659231674
84,23000493.28128024
85,25366392.846641563
86,27969641.4463266
87,30832755.460329343
88,33980109.75134568
89,37438030.89962302
90,41234881.052809045
91,45401128.23654394
92,49969398.15671413
93,54974501.629195556
94,60453430.81149057
95,66445316.40675249
96,72991337.00083356
97,80134570.72941102
98,87919778.62587553
99,96393108.36385085
100,105601706.79659364
101,115593229.84842423
102,126415239.09178263
103,138114475.92479947
104,150736006.83205667
105,164322236.9398746
106,178911794.11015904
107,194538292.2369756
108,211228990.20708564
109,229003372.01785108
110,247871683.50367004
111,267833471.49916586
112,288876181.3471167
113,310973877.52567655
114,334086158.75187707
115,358157342.0741768
116,383115989.10487187
117,408874840.77925104
118,435331214.3557672
119,462367897.82111406
120,489854553.12152797
121,517649612.0883608
122,545602619.5792464
123,573556949.6974875
124,601352795.6559404
125,628830314.4484482
126,655832796.0212145
127,682209724.3496243
128,707819604.996654
129,732532449.609767
130,756231830.7463768
131,778816448.0790495
132,800201176.7577512
133,820317597.8489159
134,839114037.0111805
135,856555159.1490662
136,872621182.6384825
137,887306786.4706128
138,900619787.5615367
139,912579664.2482796
140,923215996.6669797
141,932566886.4494485
142,940677408.1338619
143,947598133.8982334
144,953383762.5406805
145,958091873.682769
146,961781819.3827085
147,964513757.9445078
148,966347828.7717042
149,967343462.5968406
150,967558818.1974242
151,967050334.6156816
152,965872386.7425219
153,964077031.7143737
154,961713833.7261385
155,958829755.4259584
156,955469104.8936969
157,951673528.2057699
158,947482038.6687948
159,942931074.8991903
160,938054580.9892896
161,932884103.0015976
162,927448896.9522915
163,921776044.2728243
164,915890571.4712023
165,909815571.3536165
166,903572323.7173139
167,897180413.8935709
168,890657847.9131881
169,884021163.3942397
170,877285535.5210558
171,870464877.702367
172,863571936.6724275
173,856618381.9383315
174,849614889.5854821
175,842571220.5364414
176,835496293.4206258
177,828398252.257389
178,821284529.186202
179,814161902.4976788
180,807036550.2304013
181,799914099.6028159
182,792799672.548461
183,785697927.6177682
184,778613098.5016959
185,771549029.4223601
186,764509207.6243073
187,757496793.1876584
188,750514646.3714737
189,743565352.6826606
190,736651245.8528305
191,729774428.8928794
192,722936793.3828651
193,716140037.1430702
194,709385680.4210342
195,702675080.7188519
196,696009446.3751855
197,689389849.0072182
198,682817234.9091932
199,676292435.4962006
