,I_t
0,33413.0
1,35834.37390096636
2,38430.2555665035
3,41213.076638615414
4,44196.132526885965
5,47393.6391223612
6,50820.79272918704
7,54493.833315856915
8,58430.1111765656
9,62648.157078426164
10,67167.7559516179
11,72010.02415624875
12,77197.49033110884
13,82754.17979474185
14,88705.70242744684
15,95079.34391291863
16,101904.1601590951
17,109211.0746481388
18,117032.97838394433
19,125404.83201060559
20,134363.76956523827
21,143949.20320164177
22,154202.92807558688
23,165169.2264160043
24,176894.96961690625
25,189429.71697032676
26,202825.80941871734
27,217138.45643393727
28,232425.8138271946
29,248749.04995820837
30,266172.3974409991
31,284763.18703708425
32,304591.85998416966
33,325731.9545302914
34,348260.0619315874
35,372255.7466297758
36,397801.4247581847
37,424982.1945403421
38,453885.6115529969
39,484601.40123966336
40,517221.10049889865
41,551837.6196556189
42,588544.7156809918
43,627436.3671897103
44,668606.0415518432
45,712145.8444556663
46,758145.5425004136
47,806691.449942941
48,857865.171635282
49,911742.1955416389
50,968390.3300876709
51,1027867.984047343
52,1090222.2897860953
53,1155487.074519994
54,1223680.6888727355
55,1294803.7074506152
56,1368836.5224172936
57,1445736.8581065896
58,1525437.2424877717
59,1607842.4796630482
60,1692827.1763348968
61,1780233.3840616446
62,1869868.4277744952
63,1961502.9990286315
64,2054869.5992990988
65,2149661.4237371157
66,2245531.778555628
67,2342094.1249771127
68,2438922.838833665
69,2535554.766906732
70,2631491.648498419
71,2726203.45328252
72,2819132.6641713046
73,2909699.507021395
74,2997308.0980846924
75,3081353.446133403
76,3161229.21044223
77,3236336.079896978
78,3306090.604261696
79,3369934.2780638835
80,3427342.6526521463
81,3477834.234612972
82,3520978.9204846937
83,3556405.719721645
84,3583809.530722007
85,3602956.7583706
86,3613689.5952071627
87,3615928.830588729
88,3609675.101061299
89,3595008.548126598
90,3572086.90394105
91,3541142.078394727
92,3502475.3697950738
93,3456451.4636510294
94,3403491.4179250197
95,3344064.8572928365
96,3278681.6127747614
97,3207883.046577349
98,3132233.2957167374
99,3052310.653090751
100,2968699.2826208356
101,2881981.437631571
102,2792730.320612579
103,2701503.68972406
104,2608838.2845333233
105,2515245.111953657
106,2421205.6043698085
107,2327168.636343932
108,2233548.3646653183
109,2140722.83911508
110,2049033.3181916259
111,1958784.215007095
112,1870243.5932844095
113,1783644.1314161967
114,1699184.4733833577
115,1617030.8884406919
116,1537319.1663348104
117,1460156.6809322527
118,1385624.562058302
119,1313779.9226935313
120,1244658.0961232441
121,1178274.8449264602
122,1114628.5106284616
123,1053702.0792822929
124,995465.1440966651
125,939875.7514383522
126,886882.1210878456
127,836424.235525551
128,788435.2962997849
129,742843.0482188313
130,699570.9742679871
131,658539.3658345654
132,619666.2740867189
133,582868.3492525904
134,548061.5751391364
135,515161.9065658224
136,484085.81751362514
137,454750.76774594357
138,427075.5954817141
139,400980.8434239492
140,376389.02509615995
141,353224.8380374473
142,331415.32997330464
143,310890.02362873516
144,291581.00539541896
145,273422.982614997
146,256353.31380340835
147,240312.01572204768
148,225241.75080412967
149,211087.7980715631
150,197798.01033031417
151,185322.7601112791
152,173614.87652904814
153,162629.5749620776
154,152324.38121377182
155,142659.05159363005
156,133595.490159571
157,125097.66418534097
158,117131.51875901893
159,109664.89127852314
160,102667.42648619242
161,96110.4925755018
162,89967.09880738395
163,84211.81499014732
164,78820.69310437741
165,73771.1912913326
166,69042.10036914612
167,64613.472994651194
168,60466.55554897423
169,56583.72279138958
170,52948.41529757298
171,49545.07967467859
172,46359.111526008724
173,43376.80112192521
174,40585.28172059854
175,37972.48047179212
176,35527.07182876658
177,33238.433387239435
178,31096.6040658618
179,29092.24453962611
180,27216.599835776135
181,25461.464000961125
182,23819.146748391722
183,22282.441994470373
184,20844.598195657552
185,19499.2903980873
186,18240.593914567784
187,17062.959546013684
188,15961.190266988566
189,14930.419297827477
190,13966.089488713777
191,13063.933944056747
192,12219.957818523208
193,11430.421219087317
194,10691.823150454045
195,10000.886444163187
196,9354.543614576653
197,8749.923587778801
198,8184.33925216818
199,7655.27578218124
