,beta,gamma,sse
0,0.02,0.01,253981.408449189
1,0.03,0.01,202858.5011008319
2,0.03,0.02,253981.61989441904
3,0.04,0.01,157047.5691868331
4,0.04,0.02,202858.6938257509
5,0.04,0.03,253981.8333713934
6,0.05,0.01,116719.68679219803
7,0.05,0.02,157047.7421241262
8,0.05,0.03,202858.88839085476
9,0.05,0.04,253982.04888011378
10,0.060000000000000005,0.01,82050.02485875983
11,0.060000000000000005,0.02,116719.83883452258
12,0.060000000000000005,0.03,157047.91670231408
13,0.060000000000000005,0.04,202859.08479614693
14,0.060000000000000005,0.05,253982.2664205818
15,0.07,0.01,53217.93971930824
16,0.07,0.02,82050.15485744864
17,0.07,0.03,116719.99231048896
18,0.07,0.04,157048.09292139803
19,0.07,0.05,202859.28304162843
20,0.07,0.060000000000000005,253982.48599280094
21,0.08,0.01,30407.06310350626
22,0.08,0.02,53218.04648303889
23,0.08,0.03,82050.28607432901
24,0.08,0.04,116720.14722009875
25,0.08,0.05,157048.27078138152
26,0.08,0.060000000000000005,202859.48312730194
27,0.08,0.07,253982.70759677212
28,0.09,0.01,13805.393635953571
29,0.09,0.02,30407.14539693112
30,0.09,0.03,53218.15424107274
31,0.09,0.04,82050.41850940438
32,0.09,0.05,116720.30356335606
33,0.09,0.060000000000000005,157048.45028226665
34,0.09,0.07,202859.6850531694
35,0.09,0.08,253982.93123249884
36,0.09999999999999999,0.01,3605.389846961707
37,0.09999999999999999,0.02,13805.450178289444
38,0.09999999999999999,0.03,30407.228452082076
39,0.09999999999999999,0.04,53218.262993411976
40,0.09999999999999999,0.05,82050.55216267666
41,0.09999999999999999,0.060000000000000005,116720.46134026251
42,0.09999999999999999,0.07,157048.63142405552
43,0.09999999999999999,0.08,202859.8888192344
44,0.09999999999999999,0.09,253983.15689998286
45,0.10999999999999999,0.01,4.064716795552986
46,0.10999999999999999,0.02,3605.4193105422814
47,0.10999999999999999,0.03,13805.507240833782
48,0.10999999999999999,0.04,30407.312268962898
49,0.10999999999999999,0.05,53218.37274005965
50,0.10999999999999999,0.060000000000000005,82050.68703414884
51,0.10999999999999999,0.07,116720.62055082103
52,0.10999999999999999,0.08,157048.81420675092
53,0.10999999999999999,0.09,202860.09442549798
54,0.10999999999999999,0.09999999999999999,253983.3845992251
55,0.11999999999999998,0.01,3203.081774332201
56,0.11999999999999998,0.02,4.065725580665937
57,0.11999999999999998,0.03,3605.4490436097517
58,0.11999999999999998,0.04,13805.564823589384
59,0.11999999999999998,0.05,30407.39684757609
60,0.11999999999999998,0.060000000000000005,53218.4834810184
61,0.11999999999999998,0.07,82050.8231238234
62,0.11999999999999998,0.08,116720.7811950339
63,0.11999999999999998,0.09,157048.99863035575
64,0.11999999999999998,0.09999999999999999,202860.30187196386
65,0.11999999999999998,0.10999999999999999,253983.6143302301
66,0.12999999999999998,0.01,13408.852771282356
67,0.12999999999999998,0.02,3203.052902375636
68,0.12999999999999998,0.03,4.066743659440477
69,0.12999999999999998,0.04,3605.4790461671228
70,0.12999999999999998,0.05,13805.622926559505
71,0.12999999999999998,0.060000000000000005,30407.482187924837
72,0.12999999999999998,0.07,53218.59521629177
73,0.12999999999999998,0.08,82050.96043170335
74,0.12999999999999998,0.09,116720.94327290473
75,0.12999999999999998,0.09999999999999999,157049.18469487215
76,0.12999999999999998,0.10999999999999999,202860.51115863316
77,0.12999999999999998,0.11999999999999998,253983.84609299878
78,0.13999999999999999,0.01,30832.636953314708
79,0.13999999999999999,0.02,13408.792541156468
80,0.13999999999999999,0.03,3203.0237697728157
81,0.13999999999999999,0.04,4.067771035319721
82,0.13999999999999999,0.05,3605.5093182178657
83,0.13999999999999999,0.060000000000000005,13805.681549747425
84,0.13999999999999999,0.07,30407.56829001234
85,0.13999999999999999,0.08,53218.70794588203
86,0.13999999999999999,0.09,82051.09895779178
87,0.13999999999999999,0.09999999999999999,116721.10678443463
88,0.13999999999999999,0.10999999999999999,157049.37240030235
89,0.13999999999999999,0.11999999999999998,202860.72228550958
90,0.13999999999999999,0.12999999999999998,253984.0798875339
91,0.15,0.01,55690.64194961894
92,0.15,0.02,30832.543834491615
93,0.15,0.03,13408.731770415781
94,0.15,0.04,3202.9943765276057
95,0.15,0.05,4.0688077117667785
96,0.15,0.060000000000000005,3605.5398597652634
97,0.15,0.07,13805.740693156462
98,0.15,0.08,30407.655153841202
99,0.15,0.09,53218.82166979236
100,0.15,0.09999999999999999,82051.23870209121
101,0.15,0.10999999999999999,116721.27172962722
102,0.15,0.11999999999999998,157049.5617466493
103,0.15,0.12999999999999998,202860.93525259432
104,0.15,0.13999999999999999,253984.31571383832
105,0.16,0.01,88204.12630263671
106,0.16,0.02,55690.51435680482
107,0.16,0.03,30832.44988476621
108,0.16,0.04,13408.670459063971
109,0.16,0.05,3202.9647226434936
110,0.16,0.060000000000000005,4.069853692290443
111,0.16,0.07,3605.570670812739
112,0.16,0.08,13805.800356789527
113,0.16,0.09,30407.742779415006
114,0.16,0.09999999999999999,53218.93638802594
115,0.16,0.10999999999999999,82051.37966460428
116,0.16,0.11999999999999998,116721.43810848556
117,0.16,0.12999999999999998,157049.7527339159
118,0.16,0.13999999999999999,202861.1500598911
119,0.16,0.15,253984.553571913
120,0.17,0.01,128599.50365988778
121,0.17,0.02,88203.96259406279
122,0.17,0.03,55690.385632186335
123,0.17,0.04,30832.355104142942
124,0.17,0.05,13408.608607105165
125,0.17,0.060000000000000005,3202.9348081242038
126,0.17,0.07,4.070908980426841
127,0.17,0.08,3605.6017513636357
128,0.17,0.09,13805.86054064999
129,0.17,0.09999999999999999,30407.831166736407
130,0.17,0.10999999999999999,53219.05210058514
131,0.17,0.11999999999999998,82051.5218453341
132,0.17,0.12999999999999998,116721.60592101209
133,0.17,0.13999999999999999,157049.94536210448
134,0.17,0.15,202861.36670740126
135,0.17,0.16,253984.79346176266
136,0.18000000000000002,0.01,177108.44865000347
137,0.18000000000000002,0.02,128599.30213554736
138,0.18000000000000002,0.03,88203.79744185995
139,0.18000000000000002,0.04,55690.255775766534
140,0.18000000000000002,0.05,30832.259492625315
141,0.18000000000000002,0.060000000000000005,13408.546214542686
142,0.18000000000000002,0.07,3202.9046329734915
143,0.18000000000000002,0.08,4.071973579735765
144,0.18000000000000002,0.09,3605.633101421328
145,0.18000000000000002,0.09999999999999999,13805.921244741256
146,0.18000000000000002,0.10999999999999999,30407.920315809042
147,0.18000000000000002,0.11999999999999998,53219.168807474045
148,0.18000000000000002,0.12999999999999998,82051.66524428384
149,0.18000000000000002,0.13999999999999999,116721.77516720927
150,0.18000000000000002,0.15,157050.13963121735
151,0.18000000000000002,0.16,202861.58519512851
152,0.18000000000000002,0.17,253985.03538338738
153,0.19000000000000003,0.01,233968.00446529486
154,0.19000000000000003,0.02,177108.2075498492
155,0.19000000000000003,0.03,128599.09884452293
156,0.19000000000000003,0.04,88203.63084603332
157,0.19000000000000003,0.05,55690.12478755025
158,0.19000000000000003,0.060000000000000005,30832.163050217518
159,0.19000000000000003,0.07,13408.483281380939
160,0.19000000000000003,0.08,3202.874197195043
161,0.19000000000000003,0.09,4.073047493819024
162,0.19000000000000003,0.09999999999999999,3605.664720989328
163,0.19000000000000003,0.10999999999999999,13805.982469066752
164,0.19000000000000003,0.11999999999999998,30408.01022663563
165,0.19000000000000003,0.12999999999999998,53219.28650869466
166,0.19000000000000003,0.13999999999999999,82051.80986145616
167,0.19000000000000003,0.15,116721.94584708022
168,0.19000000000000003,0.16,157050.33554125822
169,0.19000000000000003,0.17,202861.80552307505
170,0.19000000000000003,0.18000000000000002,253985.27933679102
171,0.20000000000000004,0.01,299420.69217335247
172,0.20000000000000004,0.02,233967.72196737846
173,0.20000000000000004,0.03,177107.964348402
174,0.20000000000000004,0.04,128598.89378681866
175,0.20000000000000004,0.05,88203.46280658753
176,0.20000000000000004,0.060000000000000005,55689.992667541475
177,0.20000000000000004,0.07,30832.06577692409
178,0.20000000000000004,0.08,13408.419807623523
179,0.20000000000000004,0.09,3202.8435007925746
180,0.20000000000000004,0.09999999999999999,4.074130726294745
181,0.20000000000000004,0.10999999999999999,3605.696610071071
182,0.20000000000000004,0.11999999999999998,13806.044213629299
183,0.20000000000000004,0.12999999999999998,30408.100899219862
184,0.20000000000000004,0.13999999999999999,53219.4052042503
185,0.20000000000000004,0.15,82051.95569685378
186,0.20000000000000004,0.16,116722.11796062811
187,0.20000000000000004,0.17,157050.53309222875
188,0.20000000000000004,0.18000000000000002,202862.02769124298
189,0.20000000000000004,0.19000000000000003,253985.52532197555
190,0.21000000000000005,0.01,373714.6217803848
191,0.21000000000000005,0.02,299420.36639191565
192,0.21000000000000005,0.03,233967.43702167776
193,0.21000000000000005,0.04,177107.71904566544
194,0.21000000000000005,0.05,128598.6869624401
195,0.21000000000000005,0.060000000000000005,88203.29332352671
196,0.21000000000000005,0.07,55689.859415744235
197,0.21000000000000005,0.08,30831.96767274832
198,0.21000000000000005,0.09,13408.355793274484
199,0.21000000000000005,0.09999999999999999,3202.812543770041
200,0.21000000000000005,0.10999999999999999,4.075223280830418
201,0.21000000000000005,0.11999999999999998,3605.7287686702393
202,0.21000000000000005,0.12999999999999998,13806.106478432812
203,0.21000000000000005,0.13999999999999999,30408.192333564508
204,0.21000000000000005,0.15,53219.5248941447
205,0.21000000000000005,0.16,82052.10275047996
206,0.21000000000000005,0.17,116722.29150785482
207,0.21000000000000005,0.18000000000000002,157050.73228413204
208,0.21000000000000005,0.19000000000000003,202862.2516996354
209,0.21000000000000005,0.20000000000000004,253985.77333894302
210,0.22000000000000006,0.01,457103.60506920767
211,0.22000000000000006,0.02,373714.2507639012
212,0.22000000000000006,0.03,299420.0378039849
213,0.22000000000000006,0.04,233967.14962819722
214,0.22000000000000006,0.05,177107.47164164615
215,0.22000000000000006,0.060000000000000005,128598.47837139019
216,0.22000000000000006,0.07,88203.12239685502
217,0.22000000000000006,0.08,55689.72503216345
218,0.22000000000000006,0.09,30831.868737695135
219,0.22000000000000006,0.09999999999999999,13408.291238337908
220,0.22000000000000006,0.10999999999999999,3202.7813261312235
221,0.22000000000000006,0.11999999999999998,4.076325161113523
222,0.22000000000000006,0.12999999999999998,3605.7611967901084
223,0.22000000000000006,0.13999999999999999,13806.169263480382
224,0.22000000000000006,0.15,30408.28452967333
225,0.22000000000000006,0.16,53219.64557838079
226,0.22000000000000006,0.17,82052.25102233741
227,0.22000000000000006,0.18000000000000002,116722.46648876359
228,0.22000000000000006,0.19000000000000003,157050.93311697122
229,0.22000000000000006,0.20000000000000004,202862.4775482545
230,0.22000000000000006,0.21000000000000005,253986.02338769735
231,0.23000000000000007,0.01,549847.2702349458
232,0.23000000000000007,0.02,457103.1867983627
233,0.23000000000000007,0.03,373713.87656964915
234,0.23000000000000007,0.04,299419.70640956494
235,0.23000000000000007,0.05,233966.8597869431
236,0.23000000000000007,0.060000000000000005,177107.222136347
237,0.23000000000000007,0.07,128598.26801367519
238,0.23000000000000007,0.08,88202.9500265772
239,0.23000000000000007,0.09,55689.589516803215
240,0.23000000000000007,0.09999999999999999,30831.7689717679
241,0.23000000000000007,0.10999999999999999,13408.226142817908
242,0.23000000000000007,0.11999999999999998,3202.749847879934
243,0.23000000000000007,0.12999999999999998,4.077436370862544
244,0.23000000000000007,0.13999999999999999,3605.793894434532
245,0.23000000000000007,0.15,13806.232568775558
246,0.23000000000000007,0.16,30408.377487549147
247,0.23000000000000007,0.17,53219.76725696112
248,0.23000000000000007,0.18000000000000002,82052.40051242999
249,0.23000000000000007,0.19000000000000003,116722.64290335824
250,0.23000000000000007,0.20000000000000004,157051.1355907487
251,0.23000000000000007,0.21000000000000005,202862.7052371034
252,0.23000000000000007,0.22000000000000006,253986.27546823968
253,0.24000000000000007,0.01,652211.1783417845
254,0.24000000000000007,0.02,549846.8026205733
255,0.24000000000000007,0.03,457102.76496555726
256,0.24000000000000007,0.04,373713.4991976345
257,0.24000000000000007,0.05,299419.37220866233
258,0.24000000000000007,0.060000000000000005,233966.5674979182
259,0.24000000000000007,0.07,177106.970529774
260,0.24000000000000007,0.08,128598.05588929944
261,0.24000000000000007,0.09,88202.77621269855
262,0.24000000000000007,0.09999999999999999,55689.45286966809
263,0.24000000000000007,0.10999999999999999,30831.66837497192
264,0.24000000000000007,0.11999999999999998,13408.160506718215
265,0.24000000000000007,0.12999999999999998,3202.7181090202234
266,0.24000000000000007,0.13999999999999999,4.078556913823296
267,0.24000000000000007,0.15,3605.8268616068453
268,0.24000000000000007,0.16,13806.296394321917
269,0.24000000000000007,0.17,30408.471207195777
270,0.24000000000000007,0.18000000000000002,53219.88992988909
271,0.24000000000000007,0.19000000000000003,82052.55122075997
272,0.24000000000000007,0.20000000000000004,116722.82075164079
273,0.24000000000000007,0.21000000000000005,157051.3397054669
274,0.24000000000000007,0.22000000000000006,202862.93476618512
275,0.24000000000000007,0.23000000000000007,253986.52958057306
276,0.25000000000000006,0.01,764466.9416241966
277,0.25000000000000006,0.02,652210.6592227324
278,0.25000000000000006,0.03,549846.3310467651
279,0.25000000000000006,0.04,457102.3395707975
280,0.25000000000000006,0.05,373713.1186478621
281,0.25000000000000006,0.060000000000000005,299419.03520128084
282,0.25000000000000006,0.07,233966.27276113062
283,0.25000000000000006,0.08,177106.71682193238
284,0.25000000000000006,0.09,128597.84199826732
285,0.25000000000000006,0.09999999999999999,88202.6009552228
286,0.25000000000000006,0.10999999999999999,55689.315090761826
287,0.25000000000000006,0.11999999999999998,30831.566947310304
288,0.25000000000000006,0.12999999999999998,13408.09433004301
289,0.25000000000000006,0.13999999999999999,3202.686109555761
290,0.25000000000000006,0.15,4.079686793787291
291,0.25000000000000006,0.16,3605.860098310962
292,0.25000000000000006,0.17,13806.36074012285
293,0.25000000000000006,0.18000000000000002,30408.565688616098
294,0.25000000000000006,0.19000000000000003,53220.01359716815
295,0.25000000000000006,0.20000000000000004,82052.70314733018
296,0.25000000000000006,0.21000000000000005,116723.00003361452
297,0.25000000000000006,0.22000000000000006,157051.5454611298
298,0.25000000000000006,0.23000000000000007,202863.1661355012
299,0.25000000000000006,0.24000000000000007,253986.7857247005
300,0.26000000000000006,0.01,886892.3436563764
301,0.26000000000000006,0.02,764466.3687651498
302,0.26000000000000006,0.03,652210.1357331187
303,0.26000000000000006,0.04,549845.8555135289
304,0.26000000000000006,0.05,457101.91061408847
305,0.26000000000000006,0.060000000000000005,373712.73492033797
306,0.26000000000000006,0.07,299418.6953874271
307,0.26000000000000006,0.08,233965.97557658498
308,0.26000000000000006,0.09,177106.46101282744
309,0.26000000000000006,0.09999999999999999,128597.62634058387
310,0.26000000000000006,0.10999999999999999,88202.4242541548
311,0.26000000000000006,0.11999999999999998,55689.1761800899
312,0.26000000000000006,0.12999999999999998,30831.464688788117
313,0.26000000000000006,0.13999999999999999,13408.027612796714
314,0.26000000000000006,0.15,3202.653849490765
315,0.26000000000000006,0.16,4.0808260145623505
316,0.26000000000000006,0.17,3605.893604550278
317,0.26000000000000006,0.18000000000000002,13806.42560618178
318,0.26000000000000006,0.19000000000000003,30408.66093181335
319,0.26000000000000006,0.20000000000000004,53220.13825880176
320,0.26000000000000006,0.21000000000000005,82052.85629214454
321,0.26000000000000006,0.22000000000000006,116723.18074928208
322,0.26000000000000006,0.23000000000000007,157051.75285773844
323,0.26000000000000006,0.24000000000000007,202863.3993450556
324,0.26000000000000006,0.25000000000000006,253987.04390062418
325,0.2700000000000001,0.01,1019771.4614137184
326,0.2700000000000001,0.02,886891.7147456115
327,0.2700000000000001,0.03,764465.791110378
328,0.2700000000000001,0.04,652209.6078729489
329,0.2700000000000001,0.05,549845.3760208699
330,0.2700000000000001,0.060000000000000005,457101.47809543635
331,0.2700000000000001,0.07,373712.34801506915
332,0.2700000000000001,0.08,299418.35276710603
333,0.2700000000000001,0.09,233965.67594428422
334,0.2700000000000001,0.09999999999999999,177106.2031024629
335,0.2700000000000001,0.10999999999999999,128597.4089162542
336,0.2700000000000001,0.11999999999999998,88202.24610949944
337,0.2700000000000001,0.12999999999999998,55689.036137656105
338,0.2700000000000001,0.13999999999999999,30831.36159940949
339,0.2700000000000001,0.15,13407.960354983154
340,0.2700000000000001,0.16,3202.6213288291747
341,0.2700000000000001,0.17,4.08197457999465
342,0.2700000000000001,0.18000000000000002,3605.927380328658
343,0.2700000000000001,0.19000000000000003,13806.49099250216
344,0.2700000000000001,0.20000000000000004,30408.756936791742
345,0.2700000000000001,0.21000000000000005,53220.26391479257
346,0.2700000000000001,0.22000000000000006,82053.01065520593
347,0.2700000000000001,0.23000000000000007,116723.36289864623
348,0.2700000000000001,0.24000000000000007,157051.9618952982
349,0.2700000000000001,0.25000000000000006,202863.63439484985
350,0.2700000000000001,0.26000000000000006,253987.3041083472
351,0.2800000000000001,0.01,1163394.7892504171
352,0.2800000000000001,0.02,1019770.7740607936
353,0.2800000000000001,0.03,886891.0805995303
354,0.2800000000000001,0.04,764465.2086598881
355,0.2800000000000001,0.05,652209.0756422279
356,0.2800000000000001,0.060000000000000005,549844.8925687933
357,0.2800000000000001,0.07,457101.04201484617
358,0.2800000000000001,0.08,373711.9579320605
359,0.2800000000000001,0.09,299418.00734032237
360,0.2800000000000001,0.09999999999999999,233965.37386423562
361,0.2800000000000001,0.10999999999999999,177105.9430908442
362,0.2800000000000001,0.11999999999999998,128597.18972528279
363,0.2800000000000001,0.12999999999999998,88202.06652126108
364,0.2800000000000001,0.13999999999999999,55688.894963464736
365,0.2800000000000001,0.15,30831.257679178914
366,0.2800000000000001,0.16,13407.892556606821
367,0.2800000000000001,0.17,3202.5885475749615
368,0.2800000000000001,0.18000000000000002,4.083132493957695
369,0.2800000000000001,0.19000000000000003,3605.961425649668
370,0.2800000000000001,0.20000000000000004,13806.556899087684
371,0.2800000000000001,0.21000000000000005,30408.85370355393
372,0.2800000000000001,0.22000000000000006,53220.39056514411
373,0.2800000000000001,0.23000000000000007,82053.16623651727
374,0.2800000000000001,0.24000000000000007,116723.5464817109
375,0.2800000000000001,0.25000000000000006,157052.17257380954
376,0.2800000000000001,0.26000000000000006,202863.87128488714
377,0.2800000000000001,0.2700000000000001,253987.56634787176
378,0.2900000000000001,0.01,1318059.3648174645
379,0.2900000000000001,0.02,1163394.040983813
380,0.2900000000000001,0.03,1019770.0810181373
381,0.2900000000000001,0.04,886890.4412181398
382,0.2900000000000001,0.05,764464.6214136857
383,0.2900000000000001,0.060000000000000005,652208.5390409643
384,0.2900000000000001,0.07,549844.4051573081
385,0.2900000000000001,0.08,457100.60237232555
386,0.2900000000000001,0.09,373711.56467131607
387,0.2900000000000001,0.09999999999999999,299417.659107083
388,0.2900000000000001,0.10999999999999999,233965.06933644484
389,0.2900000000000001,0.11999999999999998,177105.68097797743
390,0.2900000000000001,0.12999999999999998,128596.9687676748
391,0.2900000000000001,0.13999999999999999,88201.88548944466
392,0.2900000000000001,0.15,55688.75265752094
393,0.2900000000000001,0.16,30831.152928100582
394,0.2900000000000001,0.17,13407.824217671814
395,0.2900000000000001,0.18000000000000002,3202.555505732232
396,0.2900000000000001,0.19000000000000003,4.084299760355993
397,0.2900000000000001,0.20000000000000004,3605.9957405172327
398,0.2900000000000001,0.21000000000000005,13806.62332594229
399,0.2900000000000001,0.22000000000000006,30408.951232103867
400,0.2900000000000001,0.23000000000000007,53220.51820986034
