,I_t
0,1537.0
1,1476.732534337854
2,1418.828222343439
3,1363.19440217172
4,1309.7420453492675
5,1258.3856143058774
6,1209.042925492523
7,1161.6350178665944
8,1116.0860265339677
9,1072.3230613456994
10,1030.276090255072
11,989.8778272483307
12,951.0636246697738
13,913.7713697688891
14,877.9413853039857
15,843.5163340432624
16,810.44112701049
17,778.6628353284772
18,748.1306055192474
19,718.7955781253866
20,690.6108095223329
21,663.5311967964916
22,637.5134055689571
23,612.5158006493457
24,588.498379408765
25,565.4227077653003
26,543.2518586795791
27,521.9503530619902
28,501.4841029969949
29,481.82035719367315
30,462.927648575213
31,444.77574392347304
32,427.33559549803505
33,410.57929455232664
34,394.4800266724266
35,379.01202886708415
36,364.15054834028484
37,349.8718028803891
38,336.1529428024555
39,322.97201438284696
40,310.3079247276054
41,298.14040801837615
42,286.4499930818661
43,275.2179722309388
44,264.4263713274839
45,254.05792101915443
46,244.09602910394307
47,234.52475397837304
48,225.32877912681496
49,216.49338861110516
50,208.00444352124285
51,199.84835934948134
52,192.01208425160587
53,184.48307816061035
54,177.24929271934994
55,170.29915200005613
56,163.62153397986089
57,157.20575274268566
58,151.04154137901398
59,145.1190355561826
60,139.42875773289973
61,133.96160199272902
62,128.70881947226968
63,123.66200436071335
64,118.81308044837387
65,114.1542882026639
66,109.67817235083685
67,105.37756994962291
68,101.24559892266801
69,97.27564704743223
70,93.46136137392415
71,89.79663805833817
72,86.27561259532624
73,82.89265043327275
74,79.64233795755507
75,76.5194738273602
76,73.51906065219444
77,70.63629699476628
78,67.86656968744504
79,65.20544644999967
80,62.64866879680413
81,60.192145222159056
82,57.83194465282446
83,55.56429015728589
84,53.38555290168715
85,51.29224634275759
86,49.28102064844113
87,47.3486573372985
88,45.49206412810455
89,43.70826999139845
90,41.99442039506806
91,40.34777273636022
92,38.76569195300696
93,37.24564630644425
94,35.78520333037545
95,34.38202593819602
96,33.03386868305041
97,31.73857416453625
98,30.49406957630567
99,29.298363389038926
100,28.149542163482323
101,27.045767488450444
102,25.98527303889268
103,24.96636174931622
104,23.987403098042268
105,23.04683049794954
106,22.143138789529615
107,21.27488183224235
108,20.440670190316894
109,19.63916890929503
110,18.86909537975868
111,18.129217284823028
112,17.418350628110705
113,16.735357839051282
114,16.07914595247407
115,15.448664859581083
116,14.842905627501292
117,14.260898884737026
118,13.701713269918779
119,13.164453941386075
120,12.648261145209302
121,12.152308839361003
122,11.67580337183492
123,11.21798221059746
124,10.778112723339161
125,10.355491005073459
126,9.949440751706595
127,9.559312177776095
128,9.184480976625924
129,8.824347321354312
130,8.47833490493553
131,8.145890017979545
132,7.826480662653743
133,7.519595701348756
134,7.2247440387260475
135,6.941453835838315
136,6.669271755065097
137,6.407762234655295
138,6.156506791715681
139,5.9151033525299965
140,5.683165609136982
141,5.460322401137695
142,5.246217121742836
143,5.040507147109631
144,4.8428632880550335
145,4.652969263267863
146,4.470521193176877
147,4.295227113664837
148,4.126806508850381
149,3.964989862190036
150,3.809518225182019
151,3.6601428029816367
152,3.516624556265163
153,3.3787338187050766
154,3.2462499294445153
155,3.1189608799828132
156,2.9966629749070486
157,2.87916050592668
158,2.7662654386896475
159,2.6577971118787587
160,2.553581948106839
161,2.4534531761480034
162,2.3572505640605446
163,2.264820162774371
164,2.176014059732665
165,2.0906901421935187
166,2.0087118698127813
167,1.92994805614418
168,1.8542726587070648
169,1.781564577285828
170,1.711707460138227
171,1.6445895178024927
172,1.5801033442052679
173,1.5181457447841002
174,1.4586175713494427
175,1.4014235634218979
176,1.346472195790804
177,1.293675532050217
178,1.2429490838779096
179,1.1942116758321961
180,1.1473853154502227
181,1.1023950684398478
182,1.0591689387653869
183,1.0176377534353276
184,0.9777350518076464
185,0.9393969792355854
186,0.9025621848836967
187,0.8671717235506319
188,0.8331689613415693
189,0.8004994850393288
190,0.7691110150291464
191,0.7389533216377636
192,0.7099781447529548
193,0.6821391165948608
194,0.6553916875155443
195,0.6296930547080268
196,0.605002093710723
197,0.5812792925976619
198,0.5584866887491823
199,0.5365878081019193
