,I_t
0,35705.0
1,37534.124310175706
2,39455.915564581046
3,41474.959052331644
4,43596.055385026324
5,45824.22937391244
6,48164.73913703206
7,50623.08542569395
8,53205.021156955234
9,55916.56113581728
10,58763.99194751539
11,61753.88199657938
12,64893.09166523073
13,68188.78355912614
14,71648.4328034227
15,75279.83734658742
16,79091.12822326564
17,83090.77972081803
18,87287.61938679371
19,91690.83780658574
20,96309.99807177311
21,101155.04485014919
22,106236.31295813045
23,111564.53532509318
24,117150.85022716504
25,123006.80765507267
26,129144.37466679062
27,135575.93956093356
28,142314.31469107582
29,149372.7377244721
30,156764.87113100832
31,164504.79966966694
32,172607.0256204008
33,181086.46148915016
34,189958.41989291614
35,199238.6003104566
36,208943.07236246997
37,219088.255263297
38,229690.8930644574
39,240768.02528906835
40,252336.9525357326
41,264415.1966112793
42,277020.454734296
43,290170.5473362934
44,303883.3589752611
45,318176.7718680647
46,333068.5915444365
47,348576.46412717825
48,364717.7847516465
49,381509.5966537662
50,398968.4804809253
51,417110.4334154491
52,435950.7377472924
53,455503.81859255646
54,475783.09052887175
55,496800.79300904955
56,518567.8145221114
57,541093.5055971949
58,564385.4808921244
59,588449.4107756431
60,613288.8030011983
61,638904.7752811725
62,665295.8198035684
63,692457.5609878678
64,720382.5080519579
65,749059.8042558172
66,778474.9749974029
67,808609.6772583092
68,839441.4532267023
69,870943.4912571205
70,903084.3976542179
71,935827.9830824962
72,969133.0676975165
73,1002953.309355918
74,1037237.0594807875
75,1071927.25132374
76,1106961.3254631986
77,1142271.1973972917
78,1177783.2720172077
79,1213418.5095710484
80,1249092.547438661
81,1284715.8816257475
82,1320194.1113441745
83,1355428.2493712069
84,1390315.1000731534
85,1424747.7060425417
86,1458615.8632407454
87,1491806.7033731677
88,1524205.3409698051
89,1555695.581323466
90,1586160.6840790475
91,1615484.1759023378
92,1643550.7043216464
93,1670246.9235686234
94,1695462.402085791
95,1719090.5403574605
96,1741029.4868962623
97,1761183.0396147128
98,1779461.5194606194
99,1795782.6031209028
100,1810072.1018171748
101,1822264.673735928
102,1832304.4584547149
103,1840145.6228314675
104,1845752.8091955034
105,1849101.4782846747
106,1850178.1411739967
107,1848980.47639024
108,1845517.3304522391
109,1839808.6021625106
110,1831885.0130452092
111,1821787.7683225158
112,1809568.1146931641
113,1795286.8028749817
114,1779013.4643566837
115,1760825.9130394831
116,1740809.383412115
117,1719055.7175789822
118,1695662.5138453252
119,1670732.2496599443
120,1644371.3915380677
121,1616689.5041550647
122,1587798.370142804
123,1557811.1312664396
124,1526841.4606455343
125,1495002.7745468575
126,1462407.4910544895
127,1429166.3416527314
128,1395387.7404733263
129,1361177.2146923316
130,1326636.8983414744
131,1291865.0906476942
132,1256955.8789519877
133,1221998.8252992355
134,1187078.7149445594
135,1152275.3642948817
136,1117663.4851988095
137,1083312.6020124853
138,1049287.017499444
139,1015645.8233622729
140,982442.951044644
141,949727.2583744058
142,917542.6476313765
143,885928.2107063474
144,854918.3971595776
145,824543.2011770303
146,794828.3636504976
147,765795.5858640707
148,737462.7515453915
149,709844.1543279765
150,682950.7279637806
151,656790.2769171959
152,631367.7052579158
153,606685.2420465284
154,582742.6616701381
155,559537.4978333563
156,537065.2501409271
157,515319.5824209633
158,494292.51213167957
159,473974.5903694965
160,454355.0721526839
161,435422.0767928538
162,417162.73828736856
163,399563.3457700442
164,382609.4741464656
165,366286.1051149431
166,350577.7388358138
167,335468.49656163127
168,320942.2145799839
169,306982.52985038987
170,293572.9577380423
171,280696.9622611719
172,268338.0192764369
173,256479.67302894394
174,245105.58649108993
175,234199.58590814137
176,223745.69995902813
177,213728.19392882191
178,204131.59927534967
179,194940.73895682677
180,186140.74887070624
181,177717.0957364867
182,169655.59173731247
183,161942.40621709957
184,154564.07471184648
185,147507.50557592872
186,140759.98444667357
187,134309.17677349228
188,128143.12862140086
189,122250.26594296205
190,116619.39249758118
191,111239.68658272247
192,106100.69672800307
193,101192.33649027719
194,96504.87847574356
195,92028.94770378675
196,87755.51441668137
197,83675.88642942856
198,79781.70110483085
199,76064.91703041813
