,I_t
0,736.0
1,639.8476210482712
2,556.2567637804246
3,483.5863681609517
4,420.4097652200793
5,365.4866686156483
6,317.73882526811525
7,276.2288470407552
8,240.1418078875677
9,208.76924518318086
10,181.4952511480637
11,157.78438131520736
12,137.17114265668408
13,119.25085500045148
14,103.67170632827296
15,90.12784598395768
16,78.35338019743139
17,68.11715204445892
18,59.21820336191996
19,51.481829526725164
20,44.75614964558932
21,38.90912482145023
22,33.82596595898583
23,29.40688021913347
24,25.565111880889845
25,22.225239148489266
26,19.321693466790382
27,16.797472275994412
28,14.603019934428758
29,12.695254839614051
30,11.036723648004955
31,9.594865989002766
32,8.341375238067165
33,7.251642799591631
34,6.304274989675081
35,5.480673034207222
36,4.764667936768183
37,4.14220304805008
38,3.6010581049869024
39,3.1306093219145685
40,2.7216208238583386
41,2.366063327355043
42,2.0569565091426054
43,1.7882319680907728
44,1.5546140900345566
45,1.3515164766426
46,1.1749519050066302
47,1.0214540502739728
48,0.8880094345777839
49,0.7719982662828532
50,0.6711430080999821
51,0.5834636643554798
52,0.5072389096131282
53,0.44097229552370065
54,0.3833628724731471
55,0.333279649272115
56,0.2897393894781026
57,0.251887308446486
58,0.2189802921539224
59,0.19037230834519814
60,0.1655017235943967
61,0.14388027728827324
62,0.12508349606850294
63,0.10874236054863545
64,0.09453606070630882
65,0.08218569772420664
66,0.07144880863397206
67,0.062114606270603556
68,0.05399984108786945
69,0.04694520359368621
70,0.040812196777884883
71,0.035480417131704765
72,0.030845190879847734
73,0.026815519019477933
74,0.023312290823065608
75,0.020266730732470033
76,0.017619048153605335
77,0.015317263644387949
78,0.013316188451626383
79,0.011576537363068488
80,0.010064157458071451
81,0.008749357615687585
82,0.007606325617033765
83,0.006612621398467927
84,0.005748736507092633
85,0.0049977111097932285
86,0.004344801036912124
87,0.003777188323943294
88,0.0032837295685864813
89,0.0028547371628937176
90,0.0024817891056462746
91,0.002157563661188743
92,0.0018756956187338722
93,0.0016306513302133657
94,0.0014176200734112216
95,0.001232419607615002
96,0.0010714140676486644
97,0.0009314425843783398
98,0.0008097572303651114
99,0.0007039690724106258
100,0.0006120012718963044
101,0.0005320483121795748
102,0.0004625405525972463
103,0.00040211341319837987
104,0.0003495805852397246
105,0.0003039107415107752
106,0.0002642072892643401
107,0.0002296907682611005
108,0.0001996835483656554
109,0.00017359652627646274
110,0.0001509175602191864
111,0.00013120141555274814
112,0.00011406102389969913
113,9.91598841997039e-05
114,8.620545650322382e-05
115,7.494341881201395e-05
116,6.51526742164272e-05
117,5.6641010309385766e-05
118,4.924132566240923e-05
119,4.280834928168032e-05
120,3.721578864033935e-05
121,3.2353850297028934e-05
122,2.8127084425343364e-05
123,2.4452510937872617e-05
124,2.1257990416810888e-05
125,1.848080786915453e-05
126,1.606644150269787e-05
127,1.3967492351373149e-05
128,1.2142753736283659e-05
129,1.055640229404065e-05
130,9.177294690630255e-06
131,7.978356213860482e-06
132,6.936049241203421e-06
133,6.029911147965677e-06
134,5.2421525839762106e-06
135,4.557308232138628e-06
136,3.961933192521653e-06
137,3.4443390313844674e-06
138,2.994364313237635e-06
139,2.603175111013123e-06
140,2.2630915779486835e-06
141,1.9674371764368193e-06
142,1.7104076038912535e-06
143,1.486956842376698e-06
144,1.292698094922324e-06
145,1.1238176636954913e-06
146,9.770000792875631e-07
147,8.493630112460514e-07
148,7.384006820132746e-07
149,6.419346733710308e-07
150,5.580711596208462e-07
151,4.851637278993736e-07
152,4.2178105571543476e-07
153,3.666788111524369e-07
154,3.1877522407947317e-07
155,2.7712984878385437e-07
156,2.409251010919685e-07
157,2.0945020751426525e-07
158,1.8208725130314456e-07
159,1.5829904147923244e-07
160,1.376185666701368e-07
161,1.196398267188972e-07
162,1.0400986206778895e-07
163,9.042182443792995e-08
164,7.860895276791165e-08
165,6.83393361467683e-08
166,5.94113609269122e-08
167,5.164975263451906e-08
168,4.4902134971942603e-08
169,3.903603835831468e-08
170,3.393629927984447e-08
171,2.9502799393726545e-08
172,2.564849999962814e-08
173,2.2297733291397714e-08
174,1.9384716842759395e-08
175,1.6852262163299252e-08
176,1.4650651971047343e-08
177,1.2736664140212494e-08
178,1.107272316216095e-08
179,9.626162461076724e-09
180,8.368583082046332e-09
181,7.2752961612990075e-09
182,6.324838233149184e-09
183,5.4985498581219315e-09
184,4.780209299866782e-09
185,4.155714059186067e-09
186,3.61280401303726e-09
187,3.1408207231598e-09
188,2.7304981890608605e-09
189,2.3737809374117875e-09
190,2.0636658765767776e-09
191,1.7940648115536816e-09
192,1.5596849202130994e-09
193,1.3559248443390775e-09
194,1.1787843555253155e-09
195,1.0247858224830578e-09
196,8.909059380027744e-10
197,7.745163652297945e-10
198,6.733321380184855e-10
199,5.853668023580506e-10
