,I_t
0,7835.0
1,9380.105124651132
2,11229.83954863135
3,13444.231233111288
4,16095.12291740384
5,19268.491503454083
6,23067.22015622889
7,27614.41035283598
8,33057.33742875912
9,39572.172319799916
10,47369.61457786446
11,56701.60775019367
12,67869.33823758025
13,81232.75310464535
14,97221.87118466072
15,116350.20513732829
16,139230.65940670596
17,166594.31916734722
18,199312.59622655134
19,238423.24587151202
20,285160.80803753744
21,340992.04801837745
22,407656.9628956901
23,487215.8604123683
24,582102.8792091362
25,695186.0639956092
26,829833.6825467783
27,989985.8013416356
28,1180229.1294185454
29,1405871.6780702118
30,1673011.7274740965
31,1988592.7866065777
32,2360432.5337302205
33,2797209.0352834696
34,3308381.8896161574
35,3904019.6008207453
36,4594498.145910593
37,5390030.686799252
38,6299986.916060489
39,7331965.902085213
40,8490602.827412887
41,9776122.484995844
42,11182704.712779865
43,12696799.674206384
44,14295617.860493178
45,15946104.546793593
46,17604763.19709391
47,19218680.854719155
48,20727997.4603408
49,22069837.229273878
50,23183409.213493474
51,24015657.62655879
52,24526603.97559873
53,24693470.49767442
54,24512853.91504161
55,24000594.656780366
56,23189450.07448248
57,22125091.75590374
58,20861195.4547101
59,19454433.54915923
60,17960042.680647545
61,16428398.051912813
62,14902764.736832429
63,13418179.129370293
64,12001271.834723026
65,10670779.033547405
66,9438486.411173042
67,8310385.266614589
68,7287873.223757431
69,6368886.61325742
70,5548899.047797166
71,4821757.195381754
72,4180349.9732607133
73,3617122.916543234
74,3124457.5931197694
75,2694938.8982017543
76,2321532.7671740316
77,1997694.7291806575
78,1717426.7798812557
79,1475296.9138483682
80,1266432.691633067
81,1086497.6066007393
82,931656.8280314106
83,798537.1265282478
84,684184.3961205105
85,586021.1198868961
86,501805.3248245758
87,429591.98317156907
88,367697.3944321277
89,314666.7857265144
90,269245.166105063
91,230351.33817284426
92,197054.8884954665
93,168555.93217261982
94,144167.3657411558
95,123299.37814812746
96,105445.97606485256
97,90173.29310893083
98,77109.46965676265
99,65935.90883357856
100,56379.733596374565
101,48207.28869159562
102,41218.54912807597
103,35242.31334839697
104,30132.074363154898
105,25762.475696335856
106,22026.27111024931
107,18831.71781275931
108,16100.342299771117
109,13765.026265488526
110,11768.367238177374
111,10061.274883747037
112,8601.769371065951
113,7353.952911298731
114,6287.129659604376
115,5375.052683128745
116,4595.279727378879
117,3928.6221184296833
118,3358.6733778819807
119,2871.4060508990447
120,2454.8268984734605
121,2098.682021125168
122,1794.2046952946844
123,1533.8997441472115
124,1311.3591558514365
125,1121.104425776427
126,958.4517526635785
127,819.3967783374809
128,700.5160393788382
129,598.8827089528062
130,511.9945575871537
131,437.7123616351074
132,374.2072447321694
133,319.9156570157652
134,273.5008845764373
135,233.82014213560785
136,199.8964392243282
137,170.89452753109822
138,146.1003374714346
139,124.90339786896244
140,106.78180603350295
141,91.2893782776862
142,78.04466457126571
143,66.72155690983199
144,57.041260199502005
145,48.765427995657696
146,41.69029410652816
147,35.6416555865157
148,30.470583602639145
149,26.049756575909463
150,22.27032531872917
151,19.0392329864749
152,16.276923858585572
153,13.915384537308732
154,11.896469336364483
155,10.170468628612658
156,8.694884903580931
157,7.433386399676845
158,6.354912547955243
159,5.432909202073482
160,4.644674824557461
161,3.970801531390808
162,3.394697232484839
163,2.9021771022882166
164,2.481114321811549
165,2.1211414927005645
166,1.8133953716222608
167,1.5502986398490117
168,1.3253733347973675
169,1.1330813498523005
170,0.9686880752781081
171,0.828145822793398
172,0.7079941634982694
173,0.6052747252803645
174,0.5174583518462591
175,0.44238282989148076
176,0.37819965113031584
177,0.32332849836224836
178,0.2764183349326251
179,0.23631413953354943
180,0.20202846729029528
181,0.1727171369111189
182,0.14765844527011568
183,0.1262353976450964
184,0.10792051608381434
185,0.09226285185047287
186,0.07887688217324478
187,0.06743301790874476
188,0.057649488403353655
189,0.04928540374060196
190,0.04213482355339384
191,0.036021686363471105
192,0.03079547459840096
193,0.026327508550209242
194,0.0225077780255702
195,0.01924223367649564
196,0.0164504713187114
197,0.014063752221045176
198,0.012023310621422298
199,0.01027890679715477
