,I_t
0,215.0
1,249.79194708985494
2,290.2140304438992
3,337.17733497810184
4,391.7403798391817
5,455.1329765546195
6,528.7839479440875
7,614.3533325395086
8,713.7698003549253
9,829.2741232990687
10,963.4696799794921
11,1119.3811331819334
12,1300.5226024940628
13,1510.9768685284557
14,1755.487393806038
15,2039.5652341883065
16,2369.613250299632
17,2753.0704182166965
18,3198.5794915986935
19,3716.181793585798
20,4317.543528048143
21,5016.218709879436
22,5827.954638975412
23,6771.046800873144
24,7866.751190301174
25,9139.763347125472
26,10618.77489642665
27,12337.120129442472
28,14333.527189016084
29,16652.990777458195
30,19347.78603911187
31,22478.646445611183
32,26116.13219985878
33,30342.2199574702
34,35252.14963733763
35,40956.5698667397
36,47584.03030931562
37,55283.876904762124
38,64229.61507923011
39,74622.81646398654
40,86697.65681688554
41,100726.18694212212
42,117024.45475504779
43,135959.6155936798
44,157958.1898434152
45,183515.65238345717
46,213207.56781827504
47,247702.519538038
48,287777.1200579104
49,334333.435613025
50,388419.21053529764
51,451251.33752638206
52,524243.08970721194
53,609035.7105363314
54,707535.0497440557
55,821954.0388499838
56,954861.9202508192
57,1109241.280999603
58,1288554.0979961779
59,1496818.1770792468
60,1738695.5660012607
61,2019594.7416976937
62,2345788.616277043
63,2724550.673482871
64,3164311.8363416824
65,3674840.973581889
66,4267452.2705146605
67,4955243.008591726
68,5753365.600260739
69,6679337.9876945615
70,7753396.700676172
71,8998896.931699986
72,10442763.858398164
73,12115999.034588084
74,14054244.861959476
75,16298408.788607351
76,18895346.75828907
77,21898602.304436624
78,25369193.23823228
79,29376431.755630553
80,33998755.56869672
81,39324536.90670967
82,45452822.499237366
83,52493940.60101883
84,60569890.60815449
85,69814407.09394063
86,80372564.04306388
87,92399758.52445942
88,106059889.1901958
89,121522528.70900396
90,138958887.41679642
91,158536386.95127547
92,180411717.7217649
93,204722353.0673753
94,231576643.7032301
95,261042820.15596804
96,293137479.16554654
97,327814398.1184907
98,364954767.55810905
99,404360098.2380972
100,445749081.6450612
101,488759505.7691251
102,532955924.6541575
103,577843172.5405464
104,622885080.0461233
105,667527018.5014572
106,711220318.1216238
107,753446305.6458038
108,793737758.0473037
109,831695959.8632665
110,867002193.312467
111,899423243.377129
112,928811216.5660651
113,955098534.3475913
114,978289305.7727526
115,998448401.007446
116,1015689475.1414376
117,1030162990.5885056
118,1042045021.6291801
119,1051527351.1084951
120,1058809124.9708459
121,1064090135.5493759
122,1067565665.2287493
123,1069422734.3945572
124,1069837552.3497858
125,1068973956.2605025
126,1066982630.8599887
127,1064000921.9696019
128,1060153083.3565594
129,1055550824.5162265
130,1050294053.7849399
131,1044471735.1764928
132,1038162797.8017149
133,1031437053.5654974
134,1024356092.2694972
135,1016974133.6853013
136,1009338824.0690948
137,1001491970.4282535
138,993470210.045993
139,985305615.6886315
140,977026238.866608
141,968656594.7424407
142,960218092.9719775
143,951729419.081275
144,943206871.0358065
145,934664655.5379953
146,926115148.3570405
147,917569122.6977538
148,909035949.2853562
149,900523771.5035048
150,892039658.5883914
151,883589739.5622952
152,875179320.2912794
153,866812985.7768524
154,858494689.5414898
155,850227831.7428136
156,842015327.4499638
157,833859666.3368361
158,825762964.8886377
159,817727012.0788127
160,809753309.3509347
161,801843105.632881
162,793997428.0168005
163,786217108.656502
164,778502808.3625076
165,770855037.3128467
166,763274173.2435699
167,755760477.4359077
168,748314108.7760997
169,740935136.1283611
170,733623549.2305653
171,726379268.2953614
172,719202152.4761164
173,712092007.3367805
174,705048591.4471371
175,698071622.2095568
176,691160781.0100259
177,684315717.7745985
178,677536055.0023056
179,670821391.3367329
180,664171304.7307965
181,657585355.2525418
182,651063087.5739365
183,644604033.1795217
184,638207712.3273205
185,631873635.7904979
186,625601306.404852
187,619390220.4442241
188,613239868.8432976
189,607149738.2849573
190,601119312.1673658
191,595148071.4641459
192,589235495.4895023
193,583381062.5787513
194,577584250.6935241
195,571844537.9598519
196,566161403.1464095
197,560534326.0893716
198,554962788.0696104
199,549446272.1473258
