,beta,gamma,sse
0,0.02,0.01,3563717.079114291
1,0.03,0.01,3213466.500808691
2,0.03,0.02,3563719.5878075077
3,0.04,0.01,2878083.2228724975
4,0.04,0.02,3213468.9302836442
5,0.04,0.03,3563722.120521238
6,0.05,0.01,2558088.1148000336
7,0.05,0.02,2878085.567611087
8,0.05,0.03,3213471.3828746076
9,0.05,0.04,3563724.6772554875
10,0.060000000000000005,0.01,2254014.790350681
11,0.060000000000000005,0.02,2558090.369067874
12,0.060000000000000005,0.03,2878087.934520175
13,0.060000000000000005,0.04,3213473.858581601
14,0.060000000000000005,0.05,3563727.2580102882
15,0.07,0.01,1966409.8869727314
16,0.07,0.02,2254016.9481899813
17,0.07,0.03,2558092.644518438
18,0.07,0.04,2878090.3235997763
19,0.07,0.05,3213476.357404632
20,0.07,0.060000000000000005,3563729.862785646
21,0.08,0.01,1695833.3498721963
22,0.08,0.02,1966411.9421949487
23,0.08,0.03,2254019.1261806856
24,0.08,0.04,2558094.9411517484
25,0.08,0.05,2878092.734849912
26,0.08,0.060000000000000005,3213478.8793437276
27,0.08,0.07,3563732.491581587
28,0.09,0.01,1442858.7207908595
29,0.09,0.02,1695835.2960504699
30,0.09,0.03,1966414.0164923652
31,0.09,0.04,2254021.3243228067
32,0.09,0.05,2558097.2589678275
33,0.09,0.060000000000000005,2878095.1682706107
34,0.09,0.07,3213481.4243989075
35,0.09,0.08,3563735.1443981244
36,0.09999999999999999,0.01,1208073.4315584502
37,0.09999999999999999,0.02,1442860.551252251
38,0.09999999999999999,0.03,1695837.2601815145
39,0.09999999999999999,0.04,1966416.109865006
40,0.09999999999999999,0.05,2254023.5426163743
41,0.09999999999999999,0.060000000000000005,2558099.597966687
42,0.09999999999999999,0.07,2878097.623861881
43,0.09999999999999999,0.08,3213483.9925701874
44,0.09999999999999999,0.09,3563737.8212352777
45,0.10999999999999999,0.01,992079.1024844274
46,0.10999999999999999,0.02,1208075.1393759344
47,0.10999999999999999,0.03,1442862.3984963468
48,0.10999999999999999,0.04,1695839.2422653472
49,0.10999999999999999,0.05,1966418.2223128965
50,0.10999999999999999,0.060000000000000005,2254025.7810614128
51,0.10999999999999999,0.07,2558101.9581483616
52,0.10999999999999999,0.08,2878100.101623752
53,0.10999999999999999,0.09,3213486.5838575875
54,0.10999999999999999,0.09999999999999999,3563740.522093067
55,0.11999999999999998,0.01,795491.8456555214
56,0.11999999999999998,0.02,992080.6804686764
57,0.11999999999999998,0.03,1208076.8627570025
58,0.11999999999999998,0.04,1442864.2625231745
59,0.11999999999999998,0.05,1695841.2423019996
60,0.11999999999999998,0.060000000000000005,1966420.3538360524
61,0.11999999999999998,0.07,2254028.039657935
62,0.11999999999999998,0.08,2558104.3395128637
63,0.11999999999999998,0.09,2878102.6015562336
64,0.11999999999999998,0.09999999999999999,3213489.1982611297
65,0.11999999999999998,0.10999999999999999,3563743.2469714996
66,0.12999999999999998,0.01,618942.5732057361
67,0.12999999999999998,0.02,795493.2863464494
68,0.12999999999999998,0.03,992082.2727468628
