,beta,gamma,sse
0,0.01,0.02,1304489.0362174304
1,0.01,0.03,991545.9237476994
2,0.02,0.03,1304470.3187758941
3,0.01,0.04,723932.3974119528
4,0.02,0.04,991529.7676890822
5,0.03,0.04,1304451.5659351929
6,0.01,0.05,500361.49740448274
7,0.02,0.05,723918.7301761799
8,0.03,0.05,991513.5811927975
9,0.04,0.05,1304432.7776961715
10,0.01,0.060000000000000005,319575.62147241714
11,0.02,0.060000000000000005,500350.2480866325
12,0.03,0.060000000000000005,723905.0372948182
13,0.04,0.060000000000000005,991497.3642596592
14,0.05,0.060000000000000005,1304413.9540596853
15,0.01,0.07,180345.90021822043
16,0.02,0.07,319566.7207875442
17,0.03,0.07,500338.9777505613
18,0.04,0.07,723891.3187686577
19,0.05,0.07,991481.1168904931
20,0.060000000000000005,0.07,1304395.0950265822
21,0.01,0.08,81471.58283622451
22,0.02,0.08,180339.28046677815
23,0.03,0.08,319557.8035516991
24,0.04,0.08,500327.6863970375
25,0.05,0.08,723877.5745984933
26,0.060000000000000005,0.08,991464.8390861194
27,0.07,0.08,1304376.2005977244
28,0.01,0.09,21779.433135592295
29,0.02,0.09,81467.17787006336
30,0.03,0.09,180332.64847595934
31,0.04,0.09,319548.8697656229
32,0.05,0.09,500316.3740268259
33,0.060000000000000005,0.09,723863.8047851175
34,0.07,0.09,991448.5308473672
35,0.08,0.09,1304357.2707739584
36,0.01,0.09999999999999999,123.13570364631119
37,0.02,0.09999999999999999,21777.178324528315
38,0.03,0.09999999999999999,81462.76482482255
39,0.04,0.09999999999999999,180326.00424647835
40,0.05,0.09999999999999999,319539.919430052
41,0.060000000000000005,0.09999999999999999,500305.0406406898
42,0.07,0.09999999999999999,723850.0093293278
43,0.08,0.09999999999999999,991432.1921750595
44,0.09,0.09999999999999999,1304338.305556145
45,0.01,0.10999999999999999,15382.712065071792
46,0.02,0.10999999999999999,122.96790259182998
47,0.03,0.10999999999999999,21774.919447619
48,0.04,0.10999999999999999,81458.34370118586
49,0.05,0.10999999999999999,180319.34777904456
50,0.060000000000000005,0.10999999999999999,319530.95254572807
51,0.07,0.10999999999999999,500293.68623939913
