,beta,gamma,sse
0,0.02,0.01,6312620.090937154
1,0.03,0.01,6173779.32218379
2,0.03,0.02,6312620.375075253
3,0.04,0.01,6035110.408500964
4,0.04,0.02,6173779.608757495
5,0.04,0.03,6312620.661938134
6,0.05,0.01,5896646.741197528
7,0.05,0.02,6035110.69745388
8,0.05,0.03,6173779.898062041
9,0.05,0.04,6312620.951525799
10,0.060000000000000005,0.01,5758422.690488959
11,0.060000000000000005,0.02,5896647.03246932
12,0.060000000000000005,0.03,6035110.989143076
13,0.060000000000000005,0.04,6173780.190097432
14,0.060000000000000005,0.05,6312621.243838243
15,0.07,0.01,5620473.629314903
16,0.07,0.02,5758422.984015179
17,0.07,0.03,5896647.326482173
18,0.07,0.04,6035111.28356855
19,0.07,0.05,6173780.484863664
20,0.07,0.060000000000000005,6312621.538875473
21,0.08,0.01,5482835.957552696
22,0.08,0.02,5620473.925026843
23,0.08,0.03,5758423.280286567
24,0.08,0.04,5896647.623236087
25,0.08,0.05,6035111.580730302
26,0.08,0.060000000000000005,6173780.782360738
27,0.08,0.07,6312621.836637483
28,0.09,0.01,5345547.126632294
29,0.09,0.02,5482836.25537722
30,0.09,0.03,5620474.223487358
31,0.09,0.04,5758423.579303126
32,0.09,0.05,5896647.922731065
33,0.09,0.060000000000000005,6035111.8806283325
34,0.09,0.07,6173781.082588655
35,0.09,0.08,6312622.137124276
36,0.09999999999999999,0.01,5208645.664558172
37,0.09999999999999999,0.02,5345547.426491663
38,0.09999999999999999,0.03,5482836.555952985
39,0.09999999999999999,0.04,5620474.524696441
40,0.09999999999999999,0.05,5758423.881064855
41,0.09999999999999999,0.060000000000000005,5896648.224967107
42,0.09999999999999999,0.07,6035112.183262638
43,0.09999999999999999,0.08,6173781.385547414
44,0.09999999999999999,0.09,6312622.440335849
45,0.10999999999999999,0.01,5072171.201343764
46,0.10999999999999999,0.02,5208645.96636987
47,0.10999999999999999,0.03,5345547.729104177
48,0.10999999999999999,0.04,5482836.859279989
49,0.10999999999999999,0.05,5620474.8286540955
50,0.10999999999999999,0.060000000000000005,5758424.1855717525
51,0.10999999999999999,0.07,5896648.529944211
52,0.10999999999999999,0.08,6035112.488633225
53,0.10999999999999999,0.09,6173781.691237017
54,0.10999999999999999,0.09999999999999999,6312622.746272204
55,0.11999999999999998,0.01,4936164.49486408
56,0.11999999999999998,0.02,5072171.505020319
57,0.11999999999999998,0.03,5208646.27093583
58,0.11999999999999998,0.04,5345548.034469839
59,0.11999999999999998,0.05,5482837.165358234
60,0.11999999999999998,0.060000000000000005,5620475.135360323
61,0.11999999999999998,0.07,5758424.492823821
62,0.11999999999999998,0.08,5896648.837662375
63,0.11999999999999998,0.09,6035112.796740086
64,0.11999999999999998,0.09999999999999999,6173781.999657461
65,0.11999999999999998,0.10999999999999999,6312623.054933341
66,0.12999999999999998,0.01,4800667.4571322035
67,0.12999999999999998,0.02,4936164.800312874
68,0.12999999999999998,0.03,5072171.811451423
69,0.12999999999999998,0.04,5208646.578256047
70,0.12999999999999998,0.05,5345548.342588647
71,0.12999999999999998,0.060000000000000005,5482837.474187718
