,beta,gamma,sse
75,0.12999999999999998,0.09999999999999999,1693629.1764546512
76,0.12999999999999998,0.10999999999999999,1909174.4684586166
77,0.12999999999999998,0.11999999999999998,2135290.0604736037
78,0.13999999999999999,0.01,204565.98784380374
79,0.13999999999999999,0.02,292758.2278369833
80,0.13999999999999999,0.03,395603.08113489463
81,0.13999999999999999,0.04,512647.28330810164
82,0.13999999999999999,0.05,643448.1446647828
83,0.13999999999999999,0.060000000000000005,787573.3313995049
84,0.13999999999999999,0.07,944600.6502626804
85,0.13999999999999999,0.08,1114117.8367036083
86,0.13999999999999999,0.09,1295722.3464405288
87,0.13999999999999999,0.09999999999999999,1489021.1504114377
88,0.13999999999999999,0.10999999999999999,1693630.533059936
89,0.13999999999999999,0.11999999999999998,1909175.8939107845
90,0.13999999999999999,0.12999999999999998,2135291.5523902113
91,0.15,0.01,131490.85041063142
92,0.15,0.02,204566.5157346399
93,0.15,0.03,292758.8527928067
94,0.15,0.04,395603.8000746846
95,0.15,0.05,512648.0932251584
96,0.15,0.060000000000000005,643449.0426251208
97,0.15,0.07,787574.3145402917
98,0.15,0.08,944601.7157906775
99,0.15,0.09,1114118.9818936698
100,0.15,0.09999999999999999,1295723.5686340977
101,0.15,0.10999999999999999,1489022.4470150904
102,0.15,0.11999999999999998,1693631.9015439376
103,0.15,0.12999999999999998,1909177.3318076727
104,0.15,0.13999999999999999,2135293.057293422
105,0.16,0.01,74007.26865040937
106,0.16,0.02,131491.28191452517
107,0.16,0.03,204567.04834503433
108,0.16,0.04,292759.48331935535
109,0.16,0.05,395604.5254039367
110,0.16,0.060000000000000005,512648.9103189158
111,0.16,0.07,643449.9485188082
112,0.16,0.08,787575.3063413635
113,0.16,0.09,944602.7906770539
114,0.16,0.09999999999999999,1114120.1371121947
115,0.16,0.10999999999999999,1295724.8014990252
116,0.16,0.11999999999999998,1489023.754906596
117,0.16,0.12999999999999998,1693633.281906665
118,0.16,0.13999999999999999,1909178.782149301
119,0.16,0.15,2135294.57518325
120,0.17,0.01,32601.567429697232
121,0.17,0.02,74007.59869498506
122,0.17,0.03,131491.71725344562
123,0.17,0.04,204567.58567500714
124,0.17,0.05,292760.11941664515
125,0.17,0.060000000000000005,395605.2571226684
126,0.17,0.07,512649.73458939086
127,0.17,0.08,643450.8623458619
128,0.17,0.09,787576.30680274
129,0.17,0.09999999999999999,944603.8749218255
130,0.17,0.10999999999999999,1114121.302359194
131,0.17,0.11999999999999998,1295726.0450353182
132,0.17,0.12999999999999998,1489025.0740859602
133,0.17,0.13999999999999999,1693634.6741481286
134,0.17,0.15,1909180.2449356727
135,0.17,0.16,2135296.106059699
136,0.18000000000000002,0.01,7771.557377818571
137,0.18000000000000002,0.02,32601.790757193514
138,0.18000000000000002,0.03,74007.93165569655
139,0.18000000000000002,0.04,131492.1564274131
140,0.18000000000000002,0.05,204568.127724572
141,0.18000000000000002,0.060000000000000005,292760.7610846923
142,0.18000000000000002,0.07,395605.99523089285
143,0.18000000000000002,0.08,512650.56603659585
144,0.18000000000000002,0.09,643451.7841062897
145,0.18000000000000002,0.09999999999999999,787577.3159244311
146,0.18000000000000002,0.10999999999999999,944604.9685250052
147,0.18000000000000002,0.11999999999999998,1114122.4776346842
148,0.18000000000000002,0.12999999999999998,1295727.299242988
149,0.18000000000000002,0.13999999999999999,1489026.4045532027
150,0.18000000000000002,0.15,1693636.078268343
151,0.18000000000000002,0.16,1909181.7201668
152,0.18000000000000002,0.17,2135297.649922782
153,0.19000000000000003,0.01,26.772042910330004
154,0.19000000000000003,0.02,7771.668539245312
155,0.19000000000000003,0.03,32602.016046566598
156,0.19000000000000003,0.04,74008.26753256253
157,0.19000000000000003,0.05,131492.5994364429
158,0.19000000000000003,0.060000000000000005,204568.67449374762
159,0.19000000000000003,0.07,292761.4083235152
160,0.19000000000000003,0.08,395606.73972862796
161,0.19000000000000003,0.09,512651.40466054814
162,0.19000000000000003,0.09999999999999999,643452.713800112
163,0.19000000000000003,0.10999999999999999,787578.3337064537
164,0.19000000000000003,0.11999999999999998,944606.0714866018
165,0.19000000000000003,0.12999999999999998,1114123.6629386765
166,0.19000000000000003,0.13999999999999999,1295728.5641220538
167,0.19000000000000003,0.15,1489027.7463083274
168,0.19000000000000003,0.16,1693637.4942673128
169,0.19000000000000003,0.17,1909183.207842695
170,0.19000000000000003,0.18000000000000002,2135299.206772508
171,0.20000000000000004,0.01,9888.70885938972
172,0.20000000000000004,0.02,26.76539205135969
173,0.20000000000000004,0.03,7771.780671894513
174,0.20000000000000004,0.04,32602.243297836154
175,0.20000000000000004,0.05,74008.60632560085
176,0.20000000000000004,0.060000000000000005,131493.0462805557
177,0.20000000000000004,0.07,204569.22598255132
178,0.20000000000000004,0.08,292762.06113312836
179,0.20000000000000004,0.09,395607.4906158895
180,0.20000000000000004,0.09999999999999999,512652.2504612627
181,0.20000000000000004,0.10999999999999999,643453.65142734
182,0.20000000000000004,0.11999999999999998,787579.3601488179
183,0.20000000000000004,0.12999999999999998,944607.1838066321
184,0.20000000000000004,0.13999999999999999,1114124.858271184
185,0.20000000000000004,0.15,1295729.8396725194
